"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MYLK",0.374639136545398,0.562361886196985,0.52,0.483,1
"TYW1B",0.374685177034757,-0.484419520927326,0.94,0.839,1
"EIF5B",0.375990275745076,0.55017565339364,0.46,0.397,1
"CABLES1",0.377268391110199,-0.301590112894853,0.8,0.609,1
"PLEKHA2",0.382685835347645,-0.288717347056056,0.96,0.856,1
"DAB1",0.385437237391849,-0.484611034550593,0.6,0.598,1
"RASSF8",0.385474024678462,-0.556522763663692,0.94,0.793,1
"PCDH15",0.38943065757388,-1.70086402082224,0.84,0.661,1
"STK32B",0.389471685022924,-0.424629827632104,0.7,0.667,1
"SRGAP2B",0.390938272974756,0.354811234986323,0.92,0.885,1
"ABCA9",0.392114844673151,0.776468757964576,0.64,0.592,1
"ETNPPL",0.392141403459427,-0.403548106931607,0.14,0.213,1
"MRPS15",0.394887829888773,-0.392263683071488,0.38,0.333,1
"PLPPR1",0.397742896063688,-0.511572073207467,0.4,0.42,1
"SLC24A3",0.399002760807931,-0.795869318425763,0.74,0.655,1
"C1QC",0.399053141273804,1.08283679079114,0.46,0.511,1
"DLGAP1",0.406070824297445,-0.956665723119713,0.74,0.506,1
"SUCLG2-AS1",0.413045160422346,-0.674034302938735,0.82,0.695,1
"LYN",0.413166782919111,-0.316760730238356,0.9,0.833,1
"RYR3",0.41441030176115,-0.306661275415097,0.4,0.431,1
"SH3TC1",0.414460169334375,0.460819205933828,0.54,0.466,1
"ITPR2",0.414587275382295,-0.396182758519716,1,0.879,1
"SOX6",0.41587804108718,-0.992782901941069,0.7,0.546,1
"GRIK2",0.415899333918539,-0.843448556126303,0.42,0.448,1
"LHFPL2",0.415984358053702,-0.800936852097129,0.92,0.753,1
"DGKG",0.417275135907381,-1.32330432143564,0.28,0.351,1
"UBA6-AS1",0.417370909981018,-0.571196899994524,0.72,0.534,1
"LURAP1L-AS1",0.421618269092303,-0.380310663453376,0.94,0.77,1
"INPP5F",0.424466380554668,0.266246219213488,1,0.891,1
"DSCAM",0.424559018718759,-1.14549027358558,0.9,0.833,1
"LRRK1",0.427457485072986,-0.533823748523442,0.94,0.833,1
"CDH10",0.430164283232933,-1.01853425970595,0.24,0.23,1
"GPM6A",0.430190150654212,-0.636195943812568,0.42,0.351,1
"KCTD16",0.430213551538929,-0.30869583535113,0.88,0.724,1
"SNTG1",0.43597810357188,-1.44045180601358,0.92,0.718,1
"GRIA2",0.436083500122072,-0.300764650925098,0.46,0.443,1
"PRIM2",0.437543869831055,-0.660022073123114,0.96,0.782,1
"GPC6",0.440393685896102,-0.386454421225688,0.74,0.58,1
"TMEM232",0.440437760151072,-0.519220764793034,0.4,0.287,1
"CA8",0.441836969514949,-0.314155738880744,0.54,0.414,1
"PARD3B",0.441980340737483,0.330859546711231,0.82,0.741,1
"RANBP3L",0.444783222956706,-0.290349979839161,0.34,0.282,1
"MAGI3",0.444831871044912,-0.371796583084777,0.74,0.621,1
"VEGFA",0.446286049032198,-0.435915885395659,0.9,0.828,1
"DIAPH2",0.447907369586419,-0.315786110825387,0.98,0.92,1
"CRB1",0.449342220312363,-0.353368293945451,0.52,0.511,1
"MEG3",0.455208195946835,-0.560383166984766,0.58,0.517,1
"CPNE5",0.459681482541773,-0.325323110475894,0.86,0.678,1
"PLEKHA5",0.461289453649955,-0.398204504689374,0.98,0.81,1
"MGST1",0.464204844372622,-0.323725802838188,0.68,0.511,1
"XKR4",0.467259113699337,-0.574181541355883,0.4,0.316,1
"RFX4",0.467259113699337,-0.266558133619549,0.78,0.667,1
"FBXL17",0.468901763973604,-0.576019054228378,0.8,0.603,1
"NCAN",0.471798543249384,-0.297820442692819,0.28,0.345,1
"OLFM3",0.473372728891784,-0.308405900846882,0.44,0.408,1
"KANK4",0.477947162508511,0.330330402288281,0.54,0.454,1
"NTN4",0.479460215238478,-0.261641682811988,0.92,0.736,1
"LINC00578",0.479484864451074,0.402278148149921,0.54,0.46,1
"GRM5",0.481000656076767,-1.17778767358639,0.92,0.684,1
"SGSM1",0.481101401039574,-0.349875250767833,0.8,0.655,1
"KCNQ3",0.481174463457552,-0.351480007231332,0.86,0.805,1
"AC008697.1",0.488620000766936,-0.74234867088039,0.62,0.471,1
"HBA2",0.488743131704441,0.418441328854893,0.28,0.253,1
"CACNA1D",0.488902722553418,-0.338656312119883,0.86,0.741,1
"GABRB1",0.491858824283436,-0.251037039832865,0.86,0.644,1
"SLC2A3",0.49188311610685,-0.341207044612279,0.9,0.799,1
"BAALC",0.49188311610685,0.297948205841098,0.52,0.569,1
"CDH18",0.493420658341307,-0.388874365277623,0.42,0.356,1
"MMP16",0.496598276688141,-1.83294288868416,0.58,0.534,1
"RAMP1",0.50442745695906,0.25914861664844,0.9,0.724,1
"FCGR1A",0.504451367288887,0.481717442489978,0.72,0.655,1
"CIITA",0.506121681513958,0.539296861268648,0.96,0.787,1
"RP11-556E13.1",0.507595872104567,0.312993986213477,0.36,0.23,1
"LINC00707",0.507595872104567,0.375380793903565,0.32,0.241,1
"ARHGAP25",0.512516674578299,-0.289029607406464,0.72,0.649,1
"MDGA2",0.513963909515638,-1.34627663899551,0.5,0.443,1
"CNTN1",0.513987517981422,-0.487214955636832,0.7,0.483,1
"HS6ST3",0.515562388075856,-0.931643259453038,0.32,0.305,1
