"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FGFR3",0.230411259975411,-0.452258235587275,0,0.402,1
"AZGP1",0.234601144762405,-0.30640375063042,0.113,0.534,1
"CSMD1",0.2351624344464,-1.10650421420584,0.083,0.517,1
"DLGAP1",0.242218882206237,-0.81233117059092,0.03,0.506,1
"PDE1A",0.245854246424422,-0.430836452799192,0.414,0.621,1
"BNC2",0.246084862748585,-0.299112938764635,0.481,0.805,1
"ZMAT3",0.262034067020749,-0.371983484975842,0.18,0.494,1
"SMAP2",0.273951149160096,-0.320483146462904,0.617,0.839,1
"CNTNAP2",0.286693095577552,-0.250315674634899,0.256,0.626,1
"ALPK1",0.288403587799992,0.537825334729851,0.346,0.747,1
"RBM47",0.291486960064935,0.445722428529279,0.436,0.707,1
"CST3",0.294959976210137,-0.336699659476999,0.271,0.626,1
"SHISA9",0.298542701279962,-0.445427424655792,0.015,0.414,1
"AKAP13",0.299987688502684,-0.421433677507081,0.647,0.851,1
"SORL1",0.302466049247511,-0.427530608136356,0.827,0.862,1
"COL11A1",0.306657201027017,-0.64016309590357,0.023,0.483,1
"TSPAN7",0.319858751227906,-0.26552836528454,0.038,0.425,1
"LINC00461",0.323907467184345,-0.351558964600927,0.098,0.454,1
"CD69",0.339514487459277,-0.414726146013958,0.015,0.477,1
"ITM2C",0.340991907884184,-0.276208393054001,0.12,0.466,1
"TRIO",0.351225933187286,-0.553317759369986,0.684,0.897,1
"FHIT",0.351721830301084,-0.261133136703632,0.82,0.983,1
"CNDP1",0.353459254302978,-0.434301656542958,0.338,0.644,1
"ABTB2",0.359213515879953,0.331759101896612,0.105,0.471,1
"COL9A1",0.365133094190021,-0.488339959910494,0.03,0.483,1
"ST6GALNAC5",0.373890019908051,-0.258071050293078,0.008,0.471,1
"ARHGAP6",0.381074986453604,0.461665538746923,0.391,0.684,1
"MAN1A1",0.3827299233883,0.848698883720242,0.391,0.793,1
"ROBO2",0.383047244981356,-0.257149648130921,0.038,0.489,1
"FCHSD2",0.389128672901594,-0.265272405154332,0.835,0.954,1
"CHST9",0.393830514060521,-0.421408392981681,0.015,0.42,1
"TMEM132D",0.39394938615316,-0.721385600212363,0.023,0.425,1
"ANGPTL4",0.401802495139109,-0.254684974699461,0.023,0.477,1
"RNF150",0.405245114579347,0.447993204951422,0.233,0.546,1
"NRG3",0.40559213862951,-0.842748620534768,0.045,0.431,1
"HHATL",0.406498550073985,-0.803409447084551,0,0.414,1
"RYR2",0.415129048139604,-0.347251797289248,0.143,0.506,1
"TPK1",0.415323216904209,0.369190602787074,0.248,0.569,1
"HLA-DRB1",0.416647559115358,0.381780256874062,0.241,0.626,1
"MIS18BP1",0.42369851687571,0.2637761867882,0.338,0.638,1
"LINC01170",0.430076113752839,-0.835443545993522,0.158,0.58,1
"HCG22",0.431104919308139,-0.677392981731662,0.038,0.437,1
"DIAPH2",0.437429459256333,-0.258030439644316,0.579,0.92,1
"NXPH1",0.441722368484893,-0.985779482726664,0.023,0.425,1
"ISG15",0.454566408991173,-0.279503056834201,0.008,0.42,1
"GRIN2B",0.454566408991173,-0.32928597922398,0.008,0.42,1
"PDE4D",0.45855321949523,-0.3509212291066,0.414,0.701,1
"GAS2",0.459384703561241,-0.310132630955633,0.068,0.511,1
"MERTK",0.465580355202944,1.16315157884648,0.436,0.764,1
"LDLRAD4",0.466151397849624,-0.432292987656638,0.827,0.954,1
"LSAMP",0.47072412923038,-0.388491310579779,0.571,0.776,1
"PTPRZ1",0.47824549492567,-1.06547214947947,0.045,0.483,1
"OSBPL3",0.478483360810115,0.667404355109955,0.459,0.787,1
"LINC01099",0.492003118895192,0.262235530839027,0.068,0.5,1
"SCG3",0.493366944005928,-0.386996439416443,0.015,0.471,1
"TNFRSF21",0.496560927278603,-0.284900300322926,0.023,0.431,1
"UNC80",0.502875805690793,-0.552569228344307,0.015,0.425,1
"SEZ6L",0.505343651029832,-0.957168363383148,0.023,0.431,1
"TNR",0.506108404962946,-1.40928508496434,0.045,0.483,1
"GRIK2",0.506282934325854,-0.392787916697722,0.045,0.448,1
"LRRTM4",0.507556936175259,-0.774227523287368,0.143,0.529,1
"LINC00996",0.508343272249512,-0.366429841421646,0.008,0.42,1
"SRGAP2B",0.511716888116338,-0.276303175215732,0.602,0.885,1
"ARPP21",0.513171172771065,-0.635119854806868,0.053,0.443,1
"SFRP1",0.52053729004578,-0.379705399607922,0.075,0.5,1
"RNASE1",0.520696201412584,-0.598216068456366,0.263,0.529,1
"MSR1",0.520939246477032,0.498780301206751,0.346,0.713,1
"MS4A6A",0.524024158836698,0.890956277408429,0.496,0.845,1
"RGS1",0.543610006465102,-0.505162732893212,0.301,0.598,1
"CNTNAP5",0.554666138913048,-0.786143152354505,0.03,0.437,1
"LGALS1",0.559440707628973,-0.259263430679453,0.075,0.46,1
"CRB1",0.5778260562336,-0.412994356475208,0.075,0.511,1
"OPALIN",0.586479517810821,-0.379919680258137,0.293,0.563,1
"LAT2",0.609503740163288,0.443308548315613,0.436,0.747,1
"MARK1",0.610905309563519,-0.276857810459085,0.038,0.477,1
"CPED1",0.633865424373426,0.326395964250796,0.534,0.856,1
"MYLK",0.643336250794695,-0.320832033993754,0.105,0.483,1
"FOXN3",0.667961970064307,-0.355316321430082,0.82,0.977,1
"SLC25A48",0.674508404184866,-0.43085879249333,0.015,0.471,1
"RCSD1",0.686404131122075,0.532885613846605,0.489,0.851,1
"POU6F2",0.698440252826453,-0.484982112646049,0.008,0.431,1
"MAST4",0.702261336680055,-0.393768960551175,0.06,0.46,1
"DSCAM",0.705727800972962,-0.444504661543811,0.579,0.833,1
"UNC5C",0.714199588750069,-0.281123074718951,0.722,0.897,1
"TPRG1",0.716142197962176,0.631148175991222,0.12,0.523,1
"LRP1B",0.717935021807335,-0.409524814938348,0.602,0.77,1
"MGLL",0.726319032905295,0.268288371987118,0.113,0.494,1
"PDZD2",0.734964540233202,-0.941266411552651,0.165,0.511,1
"BLNK",0.737671340268849,-0.269859238579667,0.346,0.661,1
"NEGR1",0.741686864986252,-0.477147879701294,0.338,0.644,1
"FGD2",0.743426042232176,0.256083959479837,0.398,0.701,1
"ABR",0.753433284753283,-0.335266600402192,0.654,0.874,1
"PRRX1",0.755455656239267,-0.438334493077093,0.015,0.437,1
"SFMBT2",0.76931967547494,-0.38681672321527,0.887,0.977,1
"SOX5",0.780121192936317,-1.21950226567655,0.068,0.46,1
"LRRC4C",0.784879223822387,-0.763560210259188,0.301,0.586,1
"TMEM108",0.787996604602108,-0.292673451836192,0.083,0.471,1
"PALM2",0.803721501726591,-0.374736839360804,0.346,0.632,1
"PTPRN2",0.816754494009063,-0.387209980182207,0.023,0.454,1
"HLA-C",0.817832799370013,0.271752265567371,0.316,0.626,1
"CCR1",0.822413216472422,-0.37746475660414,0.045,0.454,1
"KALRN",0.845323105556224,-0.624895334665704,0.015,0.448,1
"ATP8B4",0.851419332807,-0.301706579441885,0.541,0.845,1
"TOX",0.865163384559193,-0.393102032085584,0.03,0.448,1
"SNAP25",0.869087080691402,-0.57409648402499,0.06,0.471,1
"ST8SIA1",0.872057239749691,-0.282851360940685,0.008,0.454,1
"MEF2C-AS1",0.872475719892503,0.394398809590008,0.278,0.621,1
"PALD1",0.874048964616911,0.367566630379262,0.436,0.793,1
"BEX1",0.877246001887065,-0.355498471163076,0.09,0.489,1
"HSPH1",0.886190850871872,1.01568144387673,0.586,0.879,1
"RNF180",0.89456443064439,-0.480671058795846,0.015,0.448,1
"SLC11A1",0.894969266766171,0.602769653630243,0.436,0.799,1
"CD86",0.895519028968947,0.470882096824993,0.383,0.707,1
"ADGRG1",0.907759878302225,-0.636393670045718,0.15,0.517,1
"FMN2",0.910760891958508,-0.385465682960466,0.038,0.466,1
"CEBPD",0.921106092155375,0.508734610159389,0.376,0.69,1
"MIR503HG",0.921918317014032,0.286557370313292,0.045,0.454,1
"SH3RF3",0.922552659492693,0.455571431123017,0.534,0.856,1
"FYB",0.927005359278782,-0.893724213526772,0,0.437,1
"MIR219A2",0.927005359278782,-0.997710972487677,0,0.437,1
"PRKAG2",0.929373901538691,0.302016995402691,0.459,0.793,1
"GLUL",0.939931681253137,-0.250522887221277,0.481,0.672,1
"SESN3",0.96039287155918,0.265805170164229,0.316,0.655,1
"PIK3R5",0.98324511653154,0.582900456821891,0.459,0.81,1
"LINC00844",0.987692511970715,-1.0015495271369,0.211,0.523,1
"CCDC26",0.990854596982526,0.81683894581541,0.173,0.546,1
"ADAM28",0.991688422580115,-0.742805710511136,0.617,0.787,1
