"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MIR181A2HG",8.09660507713676e-09,0.294578264412089,0.141,0.031,0.000350599193050176
"NEU3",8.17995474386838e-09,0.257039140765497,0.103,0.008,0.000354208400318989
"LSG1",9.13930268395795e-09,0.25934618027544,0.102,0.008,0.000395750084820747
"CORO2B",9.40043540692252e-09,-0.313157220229052,0.386,0.18,0.000407057653990559
"CEP290",9.84576780626227e-09,-0.434693615552134,0.381,0.174,0.000426341437546769
"BEND6",1.11470471395027e-08,0.30408301988891,0.13,0.025,0.000482689435234744
"ACIN1",1.21407618456909e-08,-0.261570085786482,0.282,0.115,0.000525719269442106
"PRR13",1.30038891405259e-08,0.283611305424182,0.12,0.02,0.000563094407563053
"EFCAB11",1.31904192344637e-08,0.341901408428584,0.125,0.022,0.000571171533690748
"SEMA4D",1.35341739725325e-08,-0.378384688842016,0.668,0.337,0.000586056801358603
"KIF3A",1.37956444567821e-08,-0.29380864081557,0.35,0.154,0.000597378996267578
"AC011997.1",1.41668483807205e-08,0.270245087980696,0.14,0.031,0.000613452868581958
"STPG2",1.41911957869854e-08,0.339382036690563,0.198,0.07,0.000614507159968041
"CPM",1.43639955234904e-08,-0.295814310113731,0.338,0.152,0.000621989734158182
"UBL5",1.44512907389798e-08,-0.787014516443669,0.072,0.149,0.000625769791579305
"PAAF1",1.48546877044115e-08,-0.271517303990482,0.239,0.09,0.000643237686976428
"NOL4L",1.55373870507083e-08,-0.340123656764132,0.193,0.062,0.000672799934069769
"RSAD1",1.56784493118434e-08,0.261802162284938,0.128,0.025,0.000678908212101444
"PANK3",1.67257316461031e-08,-0.265496115025187,0.203,0.067,0.000724257631739556
"UBC",1.70534992309183e-08,-0.347269188763626,0.697,0.354,0.000738450623697224
"CCNI",1.82823215408164e-08,-0.489973736662247,0.429,0.202,0.000791661087360433
"TENM3",1.98384428504243e-08,0.467825739679207,0.126,0.025,0.000859044252309074
"CRBN",1.98627535476822e-08,-0.388761823423355,0.318,0.138,0.000860096954121735
"DOCK9",2.0305304521993e-08,-0.33730532112432,0.707,0.368,0.00087926029641134
"HERC6",2.23027194482469e-08,0.264835646117235,0.102,0.011,0.000965752357547986
"RNASE1",2.3654177938949e-08,-0.367601331283218,0.582,0.278,0.00102427321311237
"PLEKHG3",2.43760467604817e-08,-0.528398695624587,0.352,0.157,0.00105553157682238
"KNOP1",2.53220673375655e-08,-0.281613425076929,0.505,0.25,0.00109649615985126
"TIMP2",2.58587156634376e-08,-0.418578709873234,0.412,0.197,0.00111973410565817
"AMZ1",2.70760161175148e-08,0.28020066917576,0.112,0.017,0.00117244564992063
"HSPA1B",2.76170002038663e-08,-1.74372188433864,0.26,0.326,0.00119587134282782
"SPNS2",2.76954229675798e-08,-0.334299756185189,0.267,0.11,0.00119926720534214
"YARS2",3.00670823077588e-08,0.415373411533304,0.137,0.031,0.00130196479809057
"ABCA5",3.14606256147559e-08,-0.323902269030328,0.336,0.152,0.00136230801037016
"CDC42EP1",3.18017918545967e-08,-0.311941915020705,0.366,0.169,0.00137708119088774
"ZNF675",3.26722831248104e-08,0.33714681754348,0.111,0.017,0.00141477520387054
"ESRRG",3.34594211204792e-08,0.51450986299529,0.155,0.045,0.00144885985335899
"BSDC1",3.35659684354273e-08,-0.301067678368533,0.246,0.096,0.00145347356519087
"HNRNPDL",3.39147543751838e-08,-0.414625080787505,0.617,0.303,0.00146857669395421
"ENDOD1",3.47463682059928e-08,-0.33916346596176,0.447,0.216,0.0015045872360559
"HID1",3.48396272259373e-08,-0.299269210590781,0.223,0.084,0.00150862553813754
"ZC4H2",3.5343915891788e-08,0.27278619764332,0.139,0.034,0.00153046224594621
"CCNL2",3.62586061099674e-08,-0.26112515561613,0.284,0.121,0.00157007016177381
"BBIP1",3.74459632404202e-08,-0.25064089237808,0.31,0.138,0.00162148510023667
"APLP1",3.97995926534984e-08,-0.71668726391913,0.866,0.652,0.00172340196108179
"ST3GAL1",4.03919791417984e-08,0.258275210003492,0.101,0.011,0.00174905348079816
"EEF2",4.21878303099726e-08,-0.517543420760968,0.41,0.194,0.00182681742808244
"GOLGB1",4.32151372804018e-08,-0.366100063732534,0.313,0.138,0.00187130187451596
"LDB3",4.43967802875449e-08,-0.377834398606759,0.505,0.25,0.00192246938001127
"RORB",4.49922335889895e-08,0.466002608557468,0.153,0.045,0.00194825369887042
