"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CASP1",0,2.35681081432336,0.577,0.05,0
"CLIC2",0,2.56817634383161,0.447,0.029,0
"CPED1",0,3.30658031062888,0.911,0.144,0
"IER5",0,2.84301087697075,0.625,0.068,0
"MMRN1",0,2.12737756104083,0.388,0.024,0
"MS4A6A",0,3.06080587975139,0.907,0.148,0
"HSPA6",0,4.21264263108612,0.955,0.095,0
"HPGDS",4.70698724949594e-305,2.2400604895349,0.495,0.041,2.03821961877673e-300
"PKDCC",1.18768079020917e-303,2.05846056825635,0.457,0.035,5.14289535776376e-299
"TMEM243",3.5268342335971e-301,2.40293813801446,0.67,0.082,1.52718975983222e-296
"CYSLTR1",3.2898145379187e-279,1.77345332334992,0.347,0.021,1.42455549120956e-274
"TENT5A",9.33072929443905e-259,2.18462821020477,0.567,0.065,4.040392399078e-254
"AC074327.1",5.60909221274795e-258,3.11877431696314,0.904,0.188,2.42884910996412e-253
"MRC1",1.58011235858382e-257,2.33771407204465,0.505,0.049,6.84220253513964e-253
"CHORDC1",1.04168530690494e-254,2.93260541623059,0.904,0.208,4.51070571595976e-250
"FKBP4",6.70577828663984e-245,2.3082786883737,0.694,0.107,2.90373611368078e-240
"AC105402.3",1.5284379242454e-238,2.65403985366202,0.863,0.179,6.61844189956745e-234
"ELAVL4",2.24190614446742e-235,1.95444386118479,0.381,0.031,9.70790198677281e-231
"MRPL18",5.13800047776794e-222,2.10827696112365,0.564,0.076,2.22485696688307e-217
"HSPH1",4.75109773964476e-214,2.99920632717326,0.986,0.342,2.05732034322098e-209
"ABHD3",1.92837868920477e-212,2.79688606564696,0.931,0.285,8.35026539999448e-208
"DISC1",3.12239698645952e-208,2.49050827088561,0.897,0.218,1.3520603430767e-203
"SLC26A3",8.15065566879851e-207,2.14792032043658,0.763,0.149,3.52939691770313e-202
"DNAJA4",8.38485940911407e-204,2.32005463172019,0.632,0.102,3.63081182133457e-199
"NLRP1",1.82642602505462e-203,2.48680455137784,0.694,0.131,7.9087899736915e-199
"RASGEF1B",4.46956750022843e-200,2.87523122870649,0.966,0.348,1.93541211894892e-195
"ATP2C1",1.10503428147195e-199,2.91536639587258,0.952,0.356,4.78501944562982e-195
"SNAP23",4.4574647989065e-199,2.73809659161581,0.814,0.202,1.93017140722249e-194
"FCGR2A",6.91574304519048e-199,2.34094424105159,0.725,0.14,2.99465505342838e-194
"DNAJB1",3.35143046245643e-193,2.30958347579978,0.907,0.249,1.45123641885288e-188
"FBXL14",4.94480955170611e-187,1.81292949908138,0.405,0.045,2.14120143207978e-182
"HBB",2.46053441217097e-186,1.70273986711087,0.364,0.035,1.06546061115827e-181
"PTGES3",4.76664257884851e-185,2.62803184693624,0.959,0.377,2.06405156949298e-180
"HSPD1",5.04101566717327e-184,2.504450474227,0.9,0.275,2.18286060419937e-179
"HDAC9",5.39401638095822e-179,2.35208061326701,0.801,0.187,2.33571697328253e-174
"HSPB1",2.38847678114974e-173,2.40295939846979,0.955,0.354,1.03425821577346e-168
"HIBCH",2.24363670571167e-171,2.61003155957803,0.935,0.381,9.71539566307269e-167
"METTL21A",5.14929928764692e-171,2.07944239501532,0.564,0.097,2.22974957753687e-166
"BAG3",4.13035048227481e-170,2.20327347139663,0.838,0.231,1.78852436583464e-165
"LAT2",2.14994565625246e-166,2.04757205590025,0.653,0.132,9.3096946807044e-162
"SESN3",7.37918621442497e-166,2.58194518707276,0.825,0.249,3.1953352145703e-161
"LINGO1",5.30926304503547e-164,2.15812370429791,0.756,0.185,2.29901708376126e-159
"CGAS",3.17347310206949e-159,1.74980964106399,0.426,0.057,1.37417732265813e-154
"DNAJB6",1.54960943297254e-158,2.30218134650883,0.893,0.326,6.71011876665769e-154
"HSP90AB1",1.97538238876843e-156,2.33248218952093,0.931,0.379,8.55380081984508e-152
"DNAJA1",2.75634609865683e-155,2.19644756172571,0.763,0.211,1.19355298764038e-150
"SERPINH1",1.06250551517113e-154,1.69405110631167,0.687,0.144,4.60086138179402e-150
"ADCY7",3.52992892150433e-154,2.01082285800206,0.622,0.13,1.52852982158981e-149
"STIP1",2.30337896748295e-153,1.96556095923311,0.722,0.18,9.97409160499465e-149
"ZC3HAV1",2.39828013090852e-153,2.29197014010868,0.704,0.173,1.03850326228601e-148
"P4HA1",2.42785530757088e-152,2.25524599878685,0.924,0.371,1.05130990528434e-147
"DOCK10",3.56818375676236e-151,2.08635536424303,0.859,0.254,1.54509493035324e-146
"CTTNBP2",5.36778679166716e-150,2.20723775611472,0.694,0.167,2.32435903652771e-145
"LCP1",2.80203448016553e-149,1.77144341832249,0.557,0.102,1.21333697060128e-144
"ARHGAP15",1.88560672382172e-145,1.88921323135631,0.849,0.233,8.16505423549283e-141
"SNCA",3.38558379010312e-145,2.16459694742057,0.718,0.186,1.46602549279045e-140
"HSPA1A",9.46104429187124e-145,2.55272944921098,0.955,0.475,4.09682139926609e-140
"FOXP2",1.68515121319778e-143,2.78737180187533,0.629,0.144,7.29704178338904e-139
"C17orf67",1.59553463945571e-139,1.46452659093032,0.361,0.046,6.9089840957711e-135
"HSP90AA1",2.33609983877517e-138,1.92384570489616,0.997,0.638,1.01157795218642e-133
