"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CHI3L1",0,2.36121113904131,0.615,0.107,0
"CLU",0,1.7003577937673,0.979,0.563,0
"MT2A",0,2.47241035832973,0.894,0.333,0
"MT3",0,2.3287539422126,0.887,0.29,0
"NQO1",0,0.897617863071621,0.27,0.03,0
"MT1X",0,2.04133523496082,0.639,0.139,0
"COPS9",1.20959102318545e-306,1.47621301235546,0.417,0.092,5.23777104859762e-302
"LGI4",3.90657646497349e-304,1.33459783081781,0.598,0.177,1.69162574086282e-299
"FTH1",7.99878440482344e-303,1.67601129910765,0.908,0.585,3.46363362297665e-298
"ME1",1.50745961884494e-286,1.17673045101301,0.398,0.09,6.52760164152235e-282
"MT1E",8.64108849991135e-286,1.55144642682905,0.533,0.153,3.74176414223161e-281
"MT1G",6.60977778530716e-280,1.57093117270377,0.36,0.073,2.8621659765937e-275
"PTN",1.10454250549726e-278,1.17506456069953,0.583,0.175,4.78288995730423e-274
"HAP1",6.04005149919215e-278,0.792657401494349,0.277,0.044,2.61546310018018e-273
"IFITM3",4.31866005749957e-265,1.34961142855577,0.552,0.177,1.87006617809846e-260
"MALAT1",6.16066662729868e-265,0.882960315639947,0.952,0.907,2.66769186295288e-260
"SLC1A2",4.21931684869032e-259,0.894713976323275,0.963,0.477,1.82704858181988e-254
"AHCYL1",2.51389830241826e-254,1.39260258804205,0.801,0.457,1.08856824291316e-249
"MGST1",6.29744469036931e-251,1.52926725726659,0.64,0.279,2.72691949982372e-246
"MIAT",1.1654215041654e-244,1.02561124804954,0.388,0.092,5.04650819733702e-240
"NEAT1",2.429993016367e-239,1.06147400405948,0.974,0.927,1.05223557594724e-234
"ITM2C",2.61801651618424e-233,1.29868757156218,0.629,0.238,1.1336535118381e-228
"ATP1B2",3.52582009272381e-233,1.09505100180858,0.679,0.251,1.52675061655126e-228
"AQP4",1.45061800452633e-229,1.13651083129355,0.839,0.425,6.28146608319993e-225
"GCLM",2.62777016438166e-224,0.871990795139847,0.323,0.072,1.13787703658055e-219
"TUBB2B",1.77803538190977e-220,1.14477395770417,0.524,0.172,7.69924881074567e-216
"ANGPTL4",1.23378018030386e-219,0.991354383460061,0.488,0.148,5.34251493675179e-215
"FXYD1",4.02997856775359e-216,1.57434205555632,0.361,0.093,1.74506131940866e-211
"GNA14-AS1",1.01390993093269e-207,0.800609778929082,0.256,0.05,4.39043278292472e-203
"PGD",3.53638241179317e-206,0.607662210578864,0.255,0.048,1.53132431195468e-201
"S100A1",5.77792439367806e-203,1.2598470320055,0.355,0.092,2.50195682095047e-198
"FLNA",3.64325505345578e-199,1.06884762300207,0.419,0.126,1.57760230324742e-194
"PTGDS",8.72640842002441e-197,1.36431586189749,0.522,0.182,3.77870937403897e-192
"SLC7A11",1.12253796705666e-195,1.43965088230728,0.635,0.323,4.86081390494873e-191
"PCDH9-AS2",1.33375249751154e-195,0.872945867147068,0.319,0.079,5.77541506472447e-191
"C1orf61",2.57550080508452e-195,1.26134677065473,0.647,0.266,1.1152433586177e-190
"PIR",6.11214779449893e-193,0.970995892730216,0.357,0.097,2.64668223797393e-188
"MT1M",6.91589916241602e-192,1.30095379095487,0.348,0.093,2.99472265530938e-187
"B4GALNT4",1.40335029499422e-191,1.18360028643009,0.444,0.142,6.07678744738398e-187
"SPARCL1",4.49779610276981e-190,1.10608953518069,0.893,0.49,1.94763566842138e-185
"GLUL",2.00558635139198e-189,1.00785268609962,0.824,0.462,8.68459001879755e-185
"TKT",1.83777554455957e-186,0.897239636696034,0.468,0.161,7.95793566305187e-182
"CPE",5.2798462637632e-186,0.999764984484029,0.818,0.422,2.28627902913474e-181
"GJA1",4.27959730401582e-185,0.936151663257263,0.756,0.363,1.85315122458493e-180
"RASD1",2.23874419423151e-183,0.731763817953808,0.279,0.063,9.69421010986127e-179
"EDNRB",1.30021046669402e-181,1.03266617217877,0.383,0.112,5.63017136287843e-177
"CSTB",3.93425227598755e-175,1.01789729616663,0.419,0.136,1.70360992054813e-170
"F3",1.09097469787013e-173,0.924971347116451,0.548,0.204,4.72413863671723e-169
"MSMO1",3.00405561866555e-171,0.81772032444892,0.304,0.078,1.30081616399456e-166
"ALDH1L1",2.5639318290122e-166,1.04413066383896,0.517,0.204,1.11023376059886e-161
"KIAA0930",1.26161760231975e-161,1.08669573622426,0.58,0.252,5.46305654156498e-157
"GJB6",1.47220647380982e-157,0.778994347843058,0.283,0.071,6.37494847289128e-153
"CKB",4.71019647473873e-157,0.921834244590343,0.748,0.376,2.03960927749137e-152
"NDUFA4",3.41433193943412e-152,1.03373683447611,0.386,0.129,1.47847401641376e-147
"SELENOW",2.38059170586385e-151,1.01100874034115,0.511,0.216,1.03084382047316e-146
"LPIN1",1.47321655554218e-150,1.01978134094964,0.573,0.267,6.37932232880876e-146
"SQSTM1",8.32066651208883e-150,1.41554613370738,0.489,0.224,3.6030150130647e-145
"UQCR10",6.5019791910756e-149,1.09004522209336,0.353,0.113,2.81548702931956e-144
"TSC22D1",1.78469761077384e-147,1.18324940392936,0.508,0.232,7.72809759417289e-143
"SERPINE2",2.46760915793643e-147,0.920705634742457,0.583,0.254,1.06852411756963e-142
"DYNLL1",9.92387179990621e-147,1.03798576024394,0.511,0.215,4.29723496679539e-142
"ATP5ME",1.32121069977656e-146,1.42350019283887,0.309,0.092,5.72110657217245e-142
"SCRG1",2.22846839974478e-145,1.07146599818539,0.342,0.108,9.64971386457484e-141
"COX7C",3.66680023982415e-145,1.17710672429085,0.393,0.137,1.58779783984865e-140
"ATP5F1E",1.7519258973834e-142,1.19029559809088,0.386,0.134,7.5861895208496e-138
"BCL6",2.44320148180614e-142,1.17433363702981,0.618,0.374,1.0579551056517e-137
"EPHX1",5.79955522635366e-140,0.816569832928665,0.393,0.138,2.51132340411566e-135
"AC098829.1",6.94072856357562e-139,0.889764507575264,0.305,0.091,3.00547428259952e-134
"RORB",5.98353947015668e-138,0.792752711587301,0.445,0.165,2.59099226136724e-133
"DBI",1.18007768506962e-136,0.978229424218241,0.391,0.142,5.10997239188846e-132
"FADS3",7.55691413438275e-135,0.779999266597893,0.389,0.137,3.27229495847042e-130
"S100A13",3.89457929885953e-134,1.07222592722957,0.286,0.085,1.68643072799215e-129
"CST3",6.98180962865593e-130,0.939826677386303,0.778,0.46,3.02326320540059e-125
"HSPB1",1.81439460708257e-129,0.82866961385176,0.642,0.345,7.85669152758893e-125
"HOPX",1.91922079163682e-129,0.757582825730222,0.335,0.11,8.31060987194574e-125
"CHN1",1.02409737452879e-128,0.783779439650463,0.538,0.242,4.43454645118455e-124
"MRVI1",7.81911858045955e-126,0.83414211735101,0.479,0.196,3.38583472771059e-121
"HEPN1",2.32980388683756e-125,0.668825319662368,0.398,0.144,1.0088516790784e-120
"NRXN1",5.41214065696444e-124,0.883198779200487,0.62,0.314,2.34356514727874e-119
"C1orf198",2.68306934093384e-122,0.762076875289893,0.367,0.132,1.16182268601117e-117
"C1S",8.26699320255559e-121,0.832179863322275,0.33,0.112,3.57977339657062e-116
"ATP1A2",1.8952470664921e-120,0.725651968595414,0.71,0.364,8.2067988473241e-116
"CLDN10",4.46367291059171e-119,0.743440085479801,0.28,0.085,1.93285964374442e-114
"PCDH9",6.97140328901321e-119,0.798482444302516,0.873,0.603,3.0187570522085e-114
"GABRA2",9.41350921020664e-119,0.72247077850067,0.455,0.182,4.07623775820368e-114
"GNA14",8.15253847479473e-118,0.870126903233668,0.405,0.161,3.53021221035562e-113
"ATP5MPL",2.50077301998846e-117,0.948204206846103,0.262,0.079,1.0828847331154e-112
"CRYAB",2.70982034795343e-117,0.983371272164825,0.616,0.342,1.17340640707079e-112
"NAT8L",1.79607566817687e-116,0.824901784965969,0.423,0.169,7.7773668583395e-112
"CADM1",2.74994778331364e-115,0.844119150218296,0.713,0.46,1.19078238913047e-110
"SCG3",7.89566355216139e-115,0.847459232588287,0.34,0.12,3.41898023135693e-110
"BAALC-AS1",1.39623207833094e-114,0.644960629138703,0.331,0.114,6.04596414558863e-110
"MICALL2",1.54541558844512e-113,0.954848682730285,0.36,0.134,6.69195858108508e-109
