"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTCSC3",0,1.54619683419377,0.524,0.026,0
"KSR2",1.93023257045665e-292,1.77638238487708,0.627,0.045,8.3582930765914e-288
"FRMD6-AS2",1.24478233671084e-244,1.37579275593151,0.395,0.021,5.39015647442526e-240
"AC016766.1",3.94139187405187e-230,1.72380812983528,0.341,0.016,1.70670150930194e-225
"SLC24A4",8.81082247518178e-223,1.95995086050829,0.778,0.093,3.81526234820321e-218
"LINC00836",2.00857777855923e-214,1.77324180687224,0.762,0.088,8.69754349671716e-210
"NAA11",1.61137127621202e-193,1.29514474399272,0.378,0.024,6.97755990025328e-189
"C5orf17",1.30110519585915e-185,1.25669326133561,0.346,0.021,5.63404571910929e-181
"SORCS3",1.69215033971253e-181,1.46973764566521,0.508,0.046,7.32734940102321e-177
"AC073941.1",4.91592194241171e-178,2.1198836559226,0.951,0.172,2.12869251950312e-173
"KCND2",1.69204878620391e-176,2.12261960625605,0.768,0.111,7.32690965402016e-172
"IL1RAPL1",1.15165540398224e-169,1.2296232609182,0.73,0.099,4.9868982303239e-165
"KCNN2",2.94862207940774e-165,1.40925718985711,0.541,0.057,1.27681233282514e-160
"ADAMTSL3",5.87730579105334e-163,1.8808782039924,0.903,0.159,2.54499095364192e-158
"AC026316.5",7.47381193319805e-162,1.11234401861169,0.432,0.038,3.23631004331342e-157
"TNC",2.27644063942353e-160,1.75493513540676,0.843,0.138,9.85744325683178e-156
"DYNC1I1",4.06665608309749e-160,1.2188806988086,0.503,0.051,1.76094341710288e-155
"KIRREL3",3.25413238952629e-159,0.763172250504854,0.384,0.029,1.40910440731268e-154
"DGKB",4.59621586447715e-156,1.61298426670036,0.805,0.128,1.99025339363589e-151
"AL162511.1",5.02639288145203e-156,1.36438209794689,0.638,0.082,2.17652864552636e-151
"LINC00609",1.38821135688801e-155,2.59888451991697,0.995,0.264,6.01123281759648e-151
"ALDH1A1",3.56321436148458e-153,2.00374611348638,0.795,0.135,1.54294308281005e-148
"AC023421.2",3.58551826949748e-150,1.20892985163669,0.384,0.033,1.5526011210578e-145
"GPC6",1.39621868035655e-148,1.74467043826006,0.805,0.137,6.04590612967992e-144
"TTN",3.88965185701251e-148,1.85639415560838,0.843,0.154,1.68429704712356e-143
"USH1C",3.21882498636705e-145,0.954053170865321,0.395,0.034,1.39381559559666e-140
"AL160272.2",4.04238865919471e-138,1.42143342941587,0.686,0.109,1.75043513720449e-133
"LAMA4",3.66017913237138e-137,1.43227130261228,0.611,0.086,1.58493076789945e-132
