"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MKL2",1.28716133043446e-76,0.314304523878874,0.373,0.212,5.5736659930473e-72
"PEBP1",1.50639840795085e-76,0.336361759784579,0.406,0.237,6.52300638610879e-72
"AGAP1",1.67028541333295e-76,0.27444755246556,0.459,0.273,7.23266989681432e-72
"NSMF",1.96368869978315e-76,0.275635302789516,0.277,0.139,8.50316480780099e-72
"PMP2",2.34504690314518e-76,0.37797837008148,0.283,0.144,1.01545220999993e-71
"UTRN",2.47584510204448e-76,0.287672549664217,0.574,0.373,1.0720904460873e-71
"GPHN",2.90866607682944e-75,0.318807856235568,0.626,0.408,1.25951058458868e-70
"ACO2",3.21410044314685e-75,0.372744779478247,0.282,0.146,1.39176977389145e-70
"PDE7B",1.32666926745355e-74,0.266706790723743,0.354,0.19,5.74474326192737e-70
"ARMCX4",2.05985218002653e-74,0.321816814507516,0.267,0.135,8.9195719099509e-70
"FSTL1",1.35476716934273e-73,0.332613807599092,0.252,0.124,5.8664127966879e-69
"FZD3",6.30579285659383e-73,0.254255417434667,0.267,0.134,2.73053442276226e-68
"PRCP",7.22505125393789e-73,0.253959327646287,0.276,0.142,3.12859169398019e-68
"SRP14",1.00282736954149e-71,0.339580946839447,0.346,0.196,4.34244307558855e-67
"AC139887.2",1.75028228395257e-71,0.32067500191903,0.306,0.165,7.57907234597143e-67
"DZIP3",1.94532249154463e-71,0.262187419920548,0.317,0.171,8.42363545288655e-67
"NCKAP5",9.65580011938586e-71,0.341195119953524,0.539,0.35,4.18115456769646e-66
"MICAL3",1.38338170520316e-70,0.288716501573519,0.312,0.169,5.99031945987074e-66
"SPON1",3.14442134571466e-70,0.289415569150313,0.394,0.224,1.36159733112136e-65
"BCAS3",4.42236636296665e-70,0.263617244349288,0.56,0.365,1.91497308249182e-65
"KLF7",5.71072239950663e-70,0.278387619714025,0.358,0.203,2.47285701343436e-65
"NSUN6",1.57649144080906e-69,0.306645988788727,0.303,0.164,6.82652323699138e-65
"CSPP1",3.07273623184104e-69,0.262778933150633,0.371,0.213,1.33055624311181e-64
"DBI",6.47736603877407e-69,0.493964884675801,0.267,0.141,2.80482904210995e-64
"CAMTA1",7.67846663245455e-68,0.278656294548136,0.585,0.388,3.32492962118547e-63
"CAPS2",7.93919586725343e-68,0.304048582998933,0.284,0.151,3.43783059443808e-63
"SLC7A2",8.27564838556106e-68,0.350453602997833,0.259,0.133,3.58352126391565e-63
"DPH6",1.04789425179263e-67,0.30777793887202,0.336,0.189,4.53759168911245e-63
"PTK2",1.4784898691066e-67,0.252648353234896,0.621,0.41,6.4021568312054e-63
"IFITM3",2.63546021808881e-67,0.539918406747516,0.321,0.181,1.14120698363682e-62
"NUBPL",4.6891496133843e-67,0.343478828341319,0.316,0.177,2.03049556558767e-62
"CPEB2",5.05794453713552e-67,0.365847736051646,0.288,0.158,2.19019114347042e-62
"NME7",7.41917693713647e-67,0.294518108680821,0.288,0.155,3.21265199731884e-62
"HMBOX1",8.56037534948865e-67,0.302837058147867,0.504,0.328,3.70681373383557e-62
"KIF1A",1.05445941844168e-66,0.254373396585236,0.278,0.146,4.56602017373614e-62
"AKT3",2.31712425374171e-66,0.293144021666974,0.723,0.526,1.00336114435524e-61
"PLPP1",8.79263609191365e-66,0.292402208443877,0.352,0.204,3.80738728052045e-61
"ZNF827",2.66878771642914e-64,0.275815250694017,0.278,0.148,1.15563845696815e-59
"ARHGAP21",3.39901650813742e-64,0.252804627945606,0.645,0.451,1.47184212835366e-59
"UBA6-AS1",2.14051143552926e-63,0.390134544012818,0.272,0.146,9.26884261812882e-59
"AC073050.1",5.99034097045983e-63,0.282732951489015,0.327,0.18,2.59393744702852e-58
"FRS2",6.79110437843432e-63,0.309531734991333,0.34,0.201,2.94068401794963e-58
"NCOA1",3.83142196341561e-62,0.286562590594758,0.687,0.487,1.65908233859823e-57
"KNOP1",5.14652537686644e-62,0.38075736861799,0.285,0.157,2.22854841869071e-57
