"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"XPO1",7.3564634638403e-37,0.996473078289692,0.85,0.399,3.18549580911213e-32
"DEK",8.91265684321483e-37,0.826655108690615,0.516,0.149,3.85935866624889e-32
"FAM107B",1.65438090100153e-36,1.03944350484969,0.333,0.071,7.16380017751681e-32
"CTSS",3.12704803511676e-36,0.585870918527759,0.438,0.105,1.35407434016626e-31
"MOBP",3.19680299601377e-36,0.56810800961016,0.261,0.045,1.38427963333388e-31
"NOP58",3.27946708673285e-36,0.819230893673535,0.51,0.147,1.42007483789706e-31
"RALY",6.40068969656161e-36,1.11695417243884,0.484,0.144,2.77162665240511e-31
"PTPRJ",8.2821561148552e-36,0.852830229679032,0.797,0.308,3.5863392408546e-31
"RNF144B",8.43321325264805e-36,1.07200534249359,0.464,0.124,3.65175000266166e-31
"BLNK",8.99971391993873e-36,0.979988686699488,0.464,0.121,3.89705612161187e-31
"RUNX2",1.38909533783117e-35,0.907084016104167,0.562,0.167,6.01506063187652e-31
"ARHGAP21",1.88079462153804e-35,1.25089764421831,0.882,0.47,8.144216870184e-31
"LRIF1",2.30908315705325e-35,0.930710761654598,0.301,0.061,9.99879188667199e-31
"MECP2",3.012756888118e-35,1.12519430501654,0.556,0.186,1.30458398769285e-30
"JAZF1",3.51168953012173e-35,1.06644594522887,0.752,0.304,1.52063180033331e-30
"WAC",3.93185324888629e-35,1.19905582193166,0.804,0.396,1.70257109383274e-30
"BMT2",6.51827982276174e-35,1.4153062505334,0.503,0.166,2.82254552885229e-30
"PTBP3",8.81965399995404e-35,0.839163628657889,0.595,0.194,3.8190865750601e-30
"TRIO",1.2279049182407e-34,0.892884870812101,0.915,0.51,5.3170738769659e-30
"SIPA1L2",1.23118681570854e-34,0.831973579873797,0.588,0.185,5.33128514938113e-30
"LPIN2",1.35818323590113e-34,1.02147355670841,0.647,0.242,5.88120504809905e-30
"RBAK-RBAKDN",1.38380848915815e-34,1.1017407342886,0.497,0.156,5.99216751975263e-30
"CCT3",1.6903387422829e-34,0.998364882303387,0.471,0.14,7.3195048218334e-30
"CDK19",2.5724169376637e-34,1.0402606775525,0.627,0.232,1.11390798234714e-29
"MAP2K5",2.67625904624103e-34,1.09416823769202,0.693,0.286,1.15887369220329e-29
"JADE2",2.74432817583794e-34,0.688056416589374,0.288,0.056,1.18834898670135e-29
"KDM4C",4.7401969452621e-34,1.16722397038002,0.778,0.36,2.05260008123739e-29
"DLEU7-AS1",5.42543453027224e-34,0.808770291009593,0.405,0.099,2.34932166029848e-29
"P2RX7",6.26018229152481e-34,0.864983125397605,0.497,0.145,2.71078413587607e-29
"CD86",7.70577593846273e-34,0.676592850793704,0.471,0.124,3.33675509687313e-29
"TCF12",7.71486116465658e-34,0.99116321258076,0.922,0.48,3.34068918151959e-29
"MED13L",1.00707440693243e-33,1.08736817743067,0.954,0.592,4.36083359689879e-29
"AC007262.2",1.12029817990105e-33,1.16557680533372,0.49,0.151,4.85111517860752e-29
"NLRP1",1.16210647707357e-33,0.946531175577121,0.471,0.136,5.03215346702396e-29
"NCKAP1L",1.54583668612946e-33,0.67380861278748,0.471,0.127,6.6937820182778e-29
"TTTY14",1.93831222997279e-33,1.3599252980581,0.516,0.166,8.39327961822819e-29
"KCNQ3",2.03801690578405e-33,0.958095438434537,0.725,0.274,8.82502080542609e-29
"ATM",2.13881700012221e-33,0.915312827281829,0.784,0.332,9.26150537392921e-29
"NUFIP2",2.21538021505073e-33,0.891548929138118,0.732,0.308,9.59303940721267e-29
"MAML2",3.24289618988234e-33,1.10941042977378,0.961,0.624,1.40423890814285e-28
"FNDC3B",3.26853721134605e-33,1.07738010941831,0.791,0.366,1.41534198325707e-28
"PLCL1",3.3447096958584e-33,1.04501090874708,0.497,0.15,1.4483261925006e-28
"C11orf80",4.20315149258715e-33,0.884794903187342,0.353,0.085,1.82004865932009e-28
"TRAF6",6.55587916654729e-33,0.772961809744436,0.327,0.074,2.83882679669831e-28
"DYRK1A",7.4953894850711e-33,1.17730019514755,0.771,0.381,3.24565355482549e-28
"AOAH",8.55501627161229e-33,0.628172119501901,0.601,0.185,3.70449314593355e-28
"KCTD12",1.03919433388514e-32,0.545858397377798,0.425,0.109,4.49991930458943e-28
"CHST11",1.06152140805296e-32,0.85108904823109,0.922,0.438,4.59660000115094e-28
"EPB41L3",1.26961009210196e-32,0.693921988317012,0.667,0.232,5.49766562081989e-28
"LAP3",1.93406681143071e-32,0.948687412916702,0.464,0.137,8.37489610685724e-28
"UBE2B",2.7133231980412e-32,0.817220288812477,0.68,0.27,1.1749232112158e-27
"CNOT2",2.77657924250453e-32,0.986259010790403,0.673,0.278,1.20231434358931e-27
"MYO1D",3.12643957989274e-32,0.940891132134201,0.314,0.068,1.35381086688515e-27
"ZFHX3",3.18015177089568e-32,0.980218897946212,0.882,0.459,1.37706931983325e-27
"UMAD1",3.87427184959336e-32,1.36793917078509,0.614,0.25,1.67763719631092e-27
"NUAK1",4.64047571190215e-32,0.940880164849491,0.418,0.113,2.00941879276787e-27
"TRPM7",6.30580361724353e-32,0.937024550513816,0.641,0.251,2.73053908233879e-27
"MIR29B2CHG",6.58199278309966e-32,1.00551582995176,0.621,0.239,2.85013451493782e-27
"SCIN",7.72732156750253e-32,0.884556016342874,0.51,0.151,3.34608478515995e-27
"TPK1",1.18508683521709e-31,1.18791979324346,0.503,0.167,5.13166301385703e-27
"RPS6KA3",1.25560089741835e-31,0.850254194379407,0.647,0.233,5.43700300600092e-27
"CWF19L2",1.97719278872618e-31,1.02225739025855,0.595,0.221,8.5616402137421e-27
"NRP2",2.31606324703109e-31,0.874333657236873,0.386,0.1,1.0029017072294e-26
"PRKD2",2.83805937353479e-31,0.711551675845985,0.288,0.061,1.22893646992803e-26
"TSEN15",2.9029120717902e-31,0.912074949369192,0.366,0.095,1.25701898532659e-26
"STK38L",3.0523117519731e-31,1.10941946131328,0.49,0.163,1.32171203483939e-26
"SOS1",3.06131054394417e-31,0.997413763672093,0.758,0.361,1.3256086917387e-26
"MORC4",3.06603888479369e-31,0.843028983683804,0.268,0.055,1.32765615789337e-26
"FER",3.2129601660209e-31,1.16564518612714,0.791,0.405,1.39127601109037e-26
"CASP7",3.42250713940837e-31,0.724467573265133,0.34,0.083,1.48201404150661e-26
"RASA1",5.02258669016413e-31,1.0333964606917,0.68,0.291,2.17488048857487e-26
"CNOT6L",8.6549673768156e-31,0.884486101731753,0.51,0.17,3.74777397350869e-26
"GUCY1A1",8.68571229897591e-31,0.841579051489175,0.301,0.067,3.76108713970255e-26
"TMEM131",9.39059905988346e-31,1.07234257130519,0.667,0.29,4.06631720491074e-26
"ZNF148",1.00889127463682e-30,1.03084150686684,0.712,0.321,4.36870099743237e-26
"NFATC3",1.00893368840578e-30,1.00916231868983,0.621,0.245,4.36888465753472e-26
"FBXO11",1.01018468322472e-30,0.918381782056995,0.797,0.371,4.37430171529968e-26
"SMCO4",1.19485882526736e-30,0.770902987928993,0.255,0.05,5.17397768517272e-26
"AHSA1",1.32029443890233e-30,0.701874031983111,0.418,0.116,5.71713897933486e-26
"AP000787.1",1.35395509626128e-30,0.689783344492225,0.275,0.057,5.86289635783059e-26
"ITGB1",1.85792793212378e-30,0.831538746869366,0.529,0.178,8.04519953168237e-26
"FAM135A",1.94526616393112e-30,1.09915441276734,0.706,0.322,8.42339154305453e-26
"TSPAN14",2.8579737350266e-30,0.820494447952714,0.542,0.177,1.23755978674122e-25
"ZNF106",2.96394898989712e-30,0.995456430495536,0.621,0.249,1.28344919160525e-25
"DGKD",3.29117813607349e-30,0.857506965665054,0.51,0.169,1.42514595648254e-25
"DIP2B",3.38119140377699e-30,1.01740297175539,0.784,0.386,1.46412350166351e-25
"FBXL17",4.0630374551756e-30,1.19883272451943,0.745,0.356,1.75937647884014e-25
"PILRA",4.56633035913855e-30,0.785064698961308,0.412,0.116,1.97731237211418e-25
"AP3B1",6.8805907422994e-30,0.884712287267483,0.725,0.318,2.97943340323049e-25
"MYO1F",8.55851283192219e-30,0.677599908116578,0.549,0.175,3.70600722647895e-25
"FOXP1",9.99882558870151e-30,1.07669672490929,0.843,0.466,4.32969145641953e-25
"CLEC2D",1.2762341263857e-29,0.856451823875563,0.399,0.111,5.52634901407536e-25
"MGMT",1.31798630003347e-29,1.12712509239708,0.451,0.145,5.70714427640493e-25
"ZMYND8",1.32268124190393e-29,0.893676831204692,0.667,0.278,5.72747431369239e-25
"PIK3AP1",1.40159669853776e-29,0.763166131116506,0.471,0.137,6.06919402400823e-25
"SSH1",1.56145031213878e-29,0.985868525356159,0.536,0.19,6.76139214162333e-25
"FP236383.1",1.65937577578558e-29,0.929433272721689,0.614,0.246,7.1854289843067e-25
"PELI1",1.71239265036632e-29,0.620258061339911,0.562,0.179,7.41500265461624e-25
"CEP120",1.74539524638614e-29,0.679372767448414,0.261,0.054,7.55791049590128e-25
"PACS1",1.93987897721522e-29,1.06244473358026,0.784,0.395,8.40006394713733e-25
"AC098850.3",2.50463391159258e-29,0.963124980915822,0.438,0.139,1.08455657639782e-24
"AEBP2",2.53214737614492e-29,0.95066104161962,0.549,0.202,1.09647045681827e-24
"CASP4",2.69998036001056e-29,0.612783783145749,0.294,0.065,1.16914549549177e-24
"TBC1D12",2.86603022589884e-29,0.844088353778045,0.497,0.162,1.24104840841871e-24
"SETD3",3.85433093757939e-29,0.913367739050722,0.477,0.157,1.66900238259063e-24
"CPPED1",4.26368124723728e-29,0.806311754936759,0.288,0.065,1.84625925367869e-24
"AGAP3",4.6124959117098e-29,0.805666048235944,0.386,0.107,1.99730297968858e-24
"SLC15A4",5.87724766814907e-29,0.79805288480858,0.379,0.105,2.54496578526191e-24
"PAPOLA",6.28297450207069e-29,0.902097922306517,0.647,0.276,2.72065361888665e-24
"EPG5",6.86378100435461e-29,0.897926947392124,0.425,0.13,2.97215445050563e-24
"CAB39",7.74097987140574e-29,0.993961611088985,0.621,0.25,3.35199910391611e-24
"SAMD12",1.04326494791868e-28,1.06313021594035,0.451,0.144,4.51754587747749e-24
"EVL",1.22658755750972e-28,0.681580947458669,0.654,0.254,5.31136944152857e-24
"POU2F2",1.33797792017469e-28,0.633907200243864,0.451,0.131,5.79371198994043e-24
"PIAS2",1.34346042700157e-28,0.916215714689409,0.549,0.204,5.81745234100221e-24
"ST6GAL1",1.43713715363671e-28,0.693721054859467,0.856,0.396,6.22309130267766e-24
"PPID",1.63739104288064e-28,0.749098842667942,0.333,0.084,7.09023069388175e-24
"PICALM",2.15515531405331e-28,0.741175704773437,0.882,0.45,9.33225354091366e-24
"GPATCH2L",2.35618574058936e-28,0.961214845372158,0.621,0.258,1.02027554939e-23
"MARCH1",2.46633406040938e-28,0.612975804231114,0.706,0.26,1.06797197483847e-23
"CYP27A1",2.86476261306892e-28,1.06762580370419,0.444,0.145,1.24049950671111e-23
"ATG5",3.19787000668073e-28,1.03000315056197,0.444,0.144,1.38474167029289e-23
"PTPRC",3.43740083411962e-28,0.535907377041582,0.725,0.256,1.48846330919048e-23
"ZFAND3",3.51858987188729e-28,0.884233463418966,0.935,0.543,1.52361978632463e-23
"CCNH",4.31927897550454e-28,1.06852984126982,0.752,0.37,1.87033418197297e-23
"ARHGAP31",4.72292607012465e-28,1.12163121041395,0.621,0.259,2.04512144688537e-23
"SNX13",4.8028900570375e-28,0.908350718065263,0.673,0.291,2.07974745249838e-23
"PIP4K2A",5.22685052784228e-28,0.78703383204977,0.752,0.336,2.26333081556627e-23
"EXOC4",5.96307462047304e-28,0.964604737477806,0.856,0.465,2.58213057215723e-23
"UBE3C",5.96518519290642e-28,0.807268401296443,0.601,0.236,2.58304449223234e-23
"REL",6.33224659714593e-28,0.606486022644545,0.556,0.188,2.74198942149613e-23
"ACSL4",6.74622822425893e-28,0.925981702894032,0.497,0.17,2.9212517456686e-23
"DMXL2",6.85852009721419e-28,0.839729690586732,0.51,0.177,2.96987637249569e-23
"RYR1",8.41797440720252e-28,0.927221885175518,0.569,0.215,3.64515127780684e-23
"UBR2",1.00235808164658e-27,1.08701307005036,0.68,0.319,4.34041096514601e-23
"KHDRBS1",1.11273218954028e-27,0.897054446193013,0.556,0.206,4.81835292714733e-23
"VPS13B",1.13421116537634e-27,0.931422233247452,0.771,0.388,4.91136118831261e-23
"STK40",1.1472900594231e-27,0.718949987999884,0.379,0.107,4.96799541531389e-23
"WIPF1",1.24547108379201e-27,0.956149134988442,0.582,0.224,5.39313888703614e-23
"CMIP",1.50961677672312e-27,0.977385040574503,0.784,0.391,6.53694256656646e-23
"USP15",1.74243435996563e-27,0.663526299059625,0.739,0.31,7.54508926552319e-23
"LINC00486",1.88751818267715e-27,0.821835910025338,0.366,0.103,8.17333123462861e-23
"GAB2",2.16436703677046e-27,0.859712397540081,0.778,0.365,9.37214214262344e-23
"SAMSN1",2.78377811068695e-27,0.424284683022198,0.575,0.184,1.20543159748966e-22
"SLC24A2",2.9338633070025e-27,0.602363174510622,0.261,0.056,1.27042148919822e-22
"BMP2K",3.12261870051278e-27,0.821181086610877,0.863,0.45,1.35215634969604e-22
"PHF2",3.14169039654459e-27,0.741440317164682,0.314,0.08,1.36041477551174e-22
"HSPB1",3.31245268473425e-27,0.803242248463305,0.784,0.358,1.43435826154362e-22
"SPEN",4.23549736711259e-27,0.816805653973381,0.641,0.276,1.83405506990709e-22
"SLCO2B1",4.32417703131262e-27,0.359452505444422,0.641,0.211,1.87245513809899e-22
"MYO1E",4.35751164515659e-27,0.925856178265537,0.667,0.277,1.88688969258571e-22
"STPG2",5.12632186788632e-27,1.19539037173455,0.484,0.171,2.21979989523213e-22
"RAD51B",5.38851719417575e-27,1.20404391362407,0.745,0.377,2.33333571542198e-22
"NLGN4Y",6.3645187184869e-27,0.90381548518531,0.373,0.105,2.7559638954792e-22
"PLAGL1",6.68149416587081e-27,0.990266969400786,0.379,0.11,2.89322060370538e-22
"APPL2",6.74994160647397e-27,0.830425337837933,0.641,0.267,2.92285971443536e-22
"ZNF592",7.71630957578192e-27,0.906430107789151,0.386,0.115,3.34131637250509e-22
"RGS10",7.96019634211853e-27,0.662065667525916,0.405,0.117,3.44692422006416e-22
"AZIN1",1.09834368389949e-26,0.769289349725684,0.471,0.158,4.75604782002157e-22
"TRA2B",1.18241468572009e-26,0.786321679029669,0.608,0.247,5.12009207210514e-22
"NLK",1.18503118643743e-26,1.04583476634835,0.51,0.189,5.13142204351137e-22
"PHF3",1.34443999246076e-26,0.814309952547745,0.608,0.247,5.82169405535358e-22
"CUX1",1.35062885304966e-26,0.817942588233261,0.778,0.38,5.84849305947565e-22
"HCLS1",1.44649676488817e-26,0.568779538455288,0.503,0.159,6.26362029131875e-22
"AL160272.2",1.68434379279948e-26,0.912756048780817,0.373,0.111,7.29354549158032e-22
"USP9Y",1.83161859892803e-26,0.779166315767255,0.412,0.125,7.93127485707816e-22
"ITPK1",1.92746467231501e-26,0.936700429952601,0.477,0.169,8.34630752405846e-22
"KTN1",2.27074246535007e-26,0.976613043980309,0.712,0.349,9.83276902345886e-22
"RUNX1",2.31871274281786e-26,0.390645079221592,0.739,0.279,1.00404899189499e-21
"MTHFD1L",2.35290455683629e-26,0.97193575755095,0.68,0.298,1.01885473120125e-21
"INPP5A",2.65289765062996e-26,0.726647607393214,0.34,0.093,1.14875774067579e-21
"ANKMY2",2.69632431530088e-26,0.659458077660864,0.268,0.062,1.16756235501159e-21
"TIGAR",2.7045442241809e-26,0.823939568156964,0.314,0.081,1.17112173995481e-21
"HDX",2.82710776841638e-26,0.931603591151595,0.268,0.062,1.22419420587966e-21
"ZFAT",3.606211846799e-26,0.794516866831417,0.275,0.065,1.5615618539009e-21
"VPS8",3.89851993294496e-26,0.950189317893131,0.614,0.267,1.68813710136383e-21
"GKAP1",4.2469039022376e-26,0.844784100155478,0.438,0.145,1.83899432774693e-21
"VPS41",5.90816612847248e-26,0.803637306183222,0.529,0.204,2.55835409695115e-21
"PAG1",5.9704642978237e-26,0.810294497381076,0.693,0.291,2.58533045024362e-21
"ANKAR",6.28832906833093e-26,0.96559554502305,0.51,0.188,2.72297225316866e-21
"NUDT9",6.349631530123e-26,0.723941759893192,0.32,0.085,2.74951744517386e-21
"ATP6V1B2",7.7590755149455e-26,0.747112518988936,0.438,0.141,3.3598348794817e-21
"ANKRD11",7.85329975066786e-26,0.734561236077963,0.856,0.454,3.4006358580342e-21
"RTTN",9.0735740003287e-26,0.669495026080273,0.497,0.169,3.92903901362233e-21
"ATG4C",1.01410675599973e-25,0.887322922935497,0.484,0.173,4.39128507483003e-21
"MAP3K2",1.06872544698515e-25,0.955391495844701,0.654,0.302,4.62779493053508e-21
"CLOCK",1.14956744633751e-25,0.92509549984249,0.477,0.171,4.97785695613067e-21
"CYFIP1",1.1574239495231e-25,0.61789368333908,0.667,0.258,5.01187718622491e-21
"TBC1D2B",1.24582085781389e-25,0.88830533427109,0.529,0.199,5.39465347850569e-21
"TANGO2",1.47505497242274e-25,0.670367524732363,0.353,0.099,6.38728304158494e-21
"LASP1",1.54041084909336e-25,0.692386558525612,0.366,0.106,6.67028705874405e-21
"ATP11A",1.54192417074739e-25,0.714060850354319,0.608,0.235,6.67684004417036e-21
"ELK3",1.67668547657062e-25,0.682252715697999,0.281,0.068,7.26038345064611e-21
"OPA1",2.0327797594431e-25,0.930504022133054,0.516,0.201,8.80234291434051e-21
"USP9X",2.03896344310155e-25,0.887255003595457,0.575,0.235,8.82911950131831e-21
"CCDC91",3.48069108673676e-25,1.05819927292662,0.693,0.346,1.50720885437875e-20
"SMARCA2",3.80361246655025e-25,0.893759048876634,0.784,0.411,1.64704027026559e-20
"CREBRF",4.53154193437114e-25,0.685924341388863,0.503,0.181,1.96224828842139e-20
"PLD1",4.80771548196077e-25,0.818302563922224,0.327,0.087,2.08183695799865e-20
"COL4A3BP",5.20127655472256e-25,0.893771083563861,0.549,0.219,2.25225677372596e-20
"TMCC3",5.36000954984882e-25,0.694693514397384,0.366,0.104,2.32099133527554e-20
"ERGIC1",5.65894395164987e-25,0.799403135259681,0.497,0.182,2.45043590994343e-20
"TENT2",5.74370510360977e-25,0.938573545953951,0.667,0.324,2.4871391839651e-20
"DDX3Y",8.54342526175107e-25,0.581737126947337,0.32,0.084,3.69947400684345e-20
"HNMT",9.06107662982381e-25,0.875961527610128,0.366,0.111,3.92362740224631e-20
"PREX1",1.09201429386575e-24,0.680410499462373,0.804,0.389,4.72864029529746e-20
"AF117829.1",1.14175693293834e-24,0.822797314453255,0.641,0.276,4.9440358710096e-20
"KDM5A",1.25606845337702e-24,0.727434875203222,0.614,0.264,5.43902761681319e-20
"CDK8",1.48790962107024e-24,1.09528889133108,0.471,0.179,6.44294624115837e-20
"CYTH1",1.7637154789353e-24,0.698312991465738,0.595,0.241,7.63724076688563e-20
"SHMT1",1.85051502072166e-24,0.776935549662492,0.314,0.085,8.01310014272895e-20
"PRIM2",2.37751977992243e-24,1.13262873668588,0.431,0.152,1.02951361510201e-19
"ZNF83",2.49457298974756e-24,0.964162213553304,0.549,0.233,1.08019999602049e-19
"DENND1A",2.61614541807134e-24,0.93190571585887,0.797,0.453,1.13284328893325e-19
"CDKAL1",2.98969781761936e-24,0.945909531600573,0.712,0.355,1.29459894898554e-19
"LYST",3.08942010471576e-24,0.899813893053906,0.706,0.335,1.33778069374402e-19
"ANKRD17",3.12322705694767e-24,0.922078918143326,0.765,0.413,1.35241978019948e-19
"TMEM156",3.44625060468291e-24,0.55570653225036,0.32,0.083,1.49229543683979e-19
"PGS1",3.81380162085716e-24,0.772183315988469,0.353,0.104,1.65145237786357e-19
"UBL3",3.98253530840655e-24,0.747394411202113,0.621,0.258,1.7245174392462e-19
"ABCC4",4.34327544170309e-24,0.810748074431517,0.582,0.232,1.88072513176627e-19
"TNRC18",4.69650662310111e-24,0.809776921963517,0.614,0.27,2.03368129793524e-19
"WASHC4",5.05524899911472e-24,0.750736085892409,0.569,0.237,2.18902392159665e-19
"ASAH1",5.27215343048974e-24,0.669317318663646,0.582,0.228,2.28294787847067e-19
"KDM4B",5.65560156213834e-24,0.781753896064345,0.529,0.203,2.44898858843715e-19
"RAB31",5.70000789313283e-24,0.99566624027884,0.673,0.324,2.46821741788438e-19
"TOP1",6.01763709429353e-24,0.916147031645635,0.614,0.278,2.60575721457098e-19
"SETD2",6.78320449246303e-24,0.79279077234091,0.693,0.327,2.93726320932634e-19
"RHOQ",7.85431912503121e-24,0.829474819817625,0.588,0.249,3.40107726752101e-19
