"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CACNA2D3",3.11800829679809e-220,3.04682262259062,0.876,0.157,1.35015995267951e-215
"SLC24A4",2.95131797159068e-198,2.36977181768313,0.668,0.093,1.2779797080582e-193
"AQP1",3.02788007675566e-187,2.19666911817093,0.802,0.135,1.31113263083674e-182
"KSR2",4.86436962108879e-179,1.87760115369364,0.461,0.046,2.10636933332387e-174
"KCNN3",9.38101512218893e-156,2.76261017509174,0.94,0.282,4.06216716821025e-151
"TNC",3.5292710359377e-150,2.27850201327438,0.733,0.138,1.52824494398174e-145
"TRPM3",1.84850907669817e-138,2.21066023173886,0.945,0.29,8.0044140039184e-134
"SORCS3",1.0347653102243e-136,1.68752984579946,0.41,0.046,4.48074074633328e-132
"WWC1",7.96008027168461e-131,1.96006850255087,0.88,0.248,3.44687395924487e-126
"GPC6",7.04561826773893e-120,1.81254746017102,0.677,0.137,3.05089362229631e-115
"ANGPTL4",1.5039506940593e-118,2.22227158876841,0.705,0.161,6.51240729541557e-114
"AC073941.1",4.04476298741e-115,1.90491348675365,0.742,0.172,1.75146326880828e-110
"NAV1",3.62176888849346e-112,2.01048965113773,0.783,0.221,1.56829836409544e-107
"ALDH1A1",5.62885443689609e-111,1.95656451150362,0.636,0.135,2.43740654826474e-106
"ARHGEF4",3.02690589057666e-110,2.07184496026369,0.894,0.323,1.31071078873751e-105
"HSPB8",8.59407101761781e-109,2.13564804685849,0.71,0.178,3.72140463204887e-104
"PPP2R2B",1.54972526131867e-107,1.93459204200445,0.982,0.44,6.71062032656212e-103
"FAM182B",3.33624261710276e-104,1.9765112766246,0.802,0.25,1.44465977805784e-99
"SPON1",8.83076197000326e-101,1.98094586416817,0.788,0.239,3.82389654825081e-96
"RNF219-AS1",1.11171668943842e-99,1.82433352129969,0.829,0.235,4.81395560860623e-95
"AC138627.1",2.19166543587791e-99,1.66739583086962,0.539,0.107,9.49034967043851e-95
"CNTN1",2.89523714577377e-99,1.86772354761774,0.949,0.377,1.25369558886296e-94
"DPP10",3.20871433194002e-99,1.78312529119905,0.995,0.412,1.38943748001667e-94
"ADAMTS9",3.31927515722988e-98,1.69470709451285,0.507,0.094,1.43731252858368e-93
"CDH20",1.79883782112083e-97,1.81953299955058,0.949,0.378,7.78932753301741e-93
"AL160272.2",7.42550932508303e-97,1.89520786352205,0.53,0.109,3.21539404794745e-92
"ATP1A2",5.93689070322178e-94,1.79325180642211,0.922,0.378,2.57079241230909e-89
"CTNND2",1.50800329407384e-92,1.66531472752677,0.986,0.456,6.52995586399853e-88
"MGAT4C",8.96742706991026e-90,1.69493106862578,0.811,0.253,3.88307526981254e-85
"FBXL7",6.43807508167718e-89,1.7380363606512,0.899,0.357,2.78781527186785e-84
"VCAN",8.91401801327113e-89,1.61269440691458,0.765,0.226,3.85994808010667e-84
"NKAIN3",5.90772222814303e-88,1.5764614378607,0.885,0.305,2.5581618792305e-83
"LINC00609",4.56163836646278e-87,1.60359060512288,0.843,0.265,1.97528064544571e-82
"CAMK2G",4.27111471338993e-85,1.82929720523096,0.871,0.351,1.84947809319211e-80
"DCLK2",8.67278757478646e-84,1.96372333288641,0.834,0.335,3.75549047563403e-79
"PITPNC1",1.2413047613809e-83,1.61356099084074,0.977,0.497,5.37509787773156e-79
"GPC5",1.20593846119283e-81,1.11282273595958,0.917,0.281,5.22195472465719e-77
"LGI1",1.9774052822758e-81,1.68556313775198,0.76,0.252,8.56256035331066e-77
"HPSE2",4.47072535127213e-81,1.43515664995787,0.673,0.173,1.93591349160786e-76
"KAZN",1.53182201726015e-80,1.4165422098443,0.806,0.259,6.63309569913991e-76
"ABLIM1",4.70977292753036e-80,1.63443291124602,0.903,0.389,2.03942587307919e-75
"ADCY2",7.11118659634685e-80,1.58633667960359,0.94,0.424,3.07928601995011e-75
"AC002429.2",1.61409044468583e-79,1.86947751774368,0.631,0.172,6.98933444357859e-75
"AC027117.2",1.29702152984025e-78,1.65664389503047,0.613,0.171,5.61636262851425e-74
"RFX4",1.32935849099506e-78,1.74899283490864,0.889,0.379,5.75638813770682e-74
"IGFBP5",4.455947583061e-78,1.77269598379564,0.438,0.086,1.92951442241708e-73
"ADM",3.79788779283915e-76,1.23186621775984,0.304,0.043,1.64456137205521e-71
"GUCY1A1",1.87115275073362e-75,1.33650488106285,0.373,0.065,8.10246564122673e-71
"DAAM2",2.28136220433403e-73,1.63365377970441,0.714,0.235,9.8787546172072e-69
"KCND2",4.94839300829294e-73,1.32447551897445,0.507,0.113,2.14275314045101e-68
"WDR11-AS1",1.88873833457419e-72,1.59930869939643,0.548,0.144,8.17861473637318e-68
"RYR3",6.77528034473634e-70,1.39446536170287,0.899,0.363,2.93383189487773e-65
"PRKG1",3.08254711410689e-69,1.38049684426104,0.912,0.381,1.33480455135057e-64
"ACSBG1",5.01741101760847e-69,1.39135174385914,0.604,0.169,2.17263931884482e-64
"USH1C",7.46764815290691e-69,1.01714600810648,0.258,0.035,3.23364100317175e-64
"ADAMTSL3",1.0577503687121e-68,1.29268932183344,0.604,0.16,4.58027064659714e-64
"NRG3",4.01193772229288e-68,1.29501454967481,0.991,0.445,1.73724927250726e-63
"XIST",4.14082360013184e-68,1.88915606111832,0.793,0.387,1.79305943532909e-63
"NAV2",1.24189885834275e-67,1.32323588717512,0.94,0.465,5.37767043639579e-63
"DLGAP1",3.75913287704358e-67,1.44957483245815,0.636,0.193,1.62777971841741e-62
"DCLK1",4.81656071109701e-67,1.15595933529428,0.779,0.246,2.08566711911923e-62
"MARCH3",4.91004471955965e-67,1.47349015463336,0.788,0.309,2.12614756446372e-62
"SASH1",6.88978867917661e-67,1.59211146124544,0.82,0.355,2.98341629385706e-62
"NFASC",1.43544312167829e-66,1.38549881538879,0.641,0.195,6.21575580549133e-62
"DDIT4",1.69372433763785e-65,1.57292649316753,0.627,0.198,7.33416512683941e-61
"FAM189A2",3.23111384173072e-65,1.35353757849807,0.77,0.294,1.39913691574624e-60
"MAP1LC3B2",4.07957382586787e-64,1.27815846910485,0.286,0.046,1.7665370580773e-59
"RGMA",1.10170258468319e-63,1.3854787867564,0.664,0.22,4.77059253219517e-59
"SORBS1",2.4620290318593e-62,1.27088933713332,0.977,0.482,1.06610781137571e-57
"TSHZ2",6.03592099776194e-62,1.31933425917211,0.594,0.167,2.61367451045087e-57
"TENM2",6.29464460279086e-62,1.47599209850222,0.627,0.194,2.7257070059005e-57
"ACACB",4.38253290158627e-61,1.47512571626289,0.645,0.219,1.89772439704489e-56
"HS6ST3",3.00968849121635e-60,1.30927282579197,0.378,0.078,1.3032553104665e-55
"SLC38A1",3.8176915201627e-60,1.22546703593545,0.636,0.192,1.65313678206085e-55
"GRAMD2B",1.5299089466166e-59,1.37610214197989,0.825,0.36,6.6248117206392e-55
"KIAA1211",2.214908402854e-59,1.47060491310119,0.429,0.105,9.59099636603841e-55
"LINC00836",3.10555384506737e-59,1.41208316753753,0.406,0.09,1.34476692599107e-54
"ARMH1",6.60747533655726e-59,1.53735592534033,0.535,0.161,2.86116897023602e-54
"CAMK2B",2.58656771635953e-58,1.21782003549589,0.502,0.136,1.12003555253801e-53
"WWOX",2.69667714551047e-58,1.28430372976803,0.954,0.544,1.16771513754894e-53
"HIF3A",1.12524932889989e-57,1.20029680834821,0.829,0.35,4.87255464400232e-53
"TCF7L1",2.35662356083618e-57,1.4296619443173,0.539,0.162,1.02046513431328e-52
"GALNT15",5.53223281900078e-57,1.39232021370366,0.512,0.143,2.39556745528372e-52
"MAGI2",2.76930706189371e-56,1.17611115112781,0.954,0.457,1.19916534394122e-51
"AC098829.1",4.32446730751248e-56,1.50405685874533,0.41,0.099,1.87258083349905e-51
"SLC39A11",1.77087084984483e-55,1.32562717844296,0.806,0.37,7.6682249539981e-51
"FMN2",1.94475053878245e-55,1.28413992228522,0.885,0.399,8.42115878303578e-51
"NEBL",4.63786745299159e-55,1.17963711810052,0.926,0.442,2.00828936449442e-50
"KANK1",9.47931092708383e-55,1.31897944746726,0.756,0.316,4.10473121764584e-50
"BCKDHB",5.12234072520307e-54,1.27233161131216,0.756,0.325,2.21807598082743e-49
"ADGRV1",9.10898711850329e-54,1.10924473699687,0.959,0.486,3.94437360205429e-49
"LINC00461",1.24929284323035e-53,1.25097715256837,0.756,0.31,5.40968786975604e-49
"GPR75-ASB3",3.91355533909348e-53,1.39270098392761,0.691,0.282,1.69464773293426e-48
"LSAMP",5.43313373011516e-53,1.05828159684944,0.982,0.524,2.35265556781447e-48
"TMEM132B",6.58400955598985e-53,1.2700846144654,0.502,0.147,2.85100781793472e-48
"NPAS3",8.41455204156594e-53,1.12515045143941,0.982,0.518,3.64366932503888e-48
"ALDH7A1",8.48938849918137e-53,1.37343406268406,0.594,0.205,3.67607500791552e-48
"PLEKHA5",1.7350140987237e-52,1.29474343622603,0.802,0.353,7.51295805029336e-48
"CDH4",2.65708303056724e-52,1.28914026420412,0.641,0.232,1.15057009389622e-47
"FAM171A1",1.21001153969814e-51,1.42736922479438,0.636,0.24,5.23959196920088e-47
"PCDH9",1.40962340279671e-51,1.04411409333881,0.991,0.614,6.10395125879033e-47
"MMD2",2.78368598098852e-51,1.41791175269037,0.373,0.089,1.20539170348765e-46
"SLC4A4",2.87717207123111e-51,1.0578644667051,0.728,0.267,1.2458730502845e-46
"RFX3-AS1",3.72971114831787e-51,1.44281708018481,0.576,0.203,1.6150395214446e-46
"CDHR3",4.38207885751382e-51,1.35546619689533,0.682,0.267,1.89752778688064e-46
"DGKG",5.38025403335177e-51,1.37589269885105,0.636,0.231,2.32975760152198e-46
