"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"RALYL",0,2.64924252224523,0.685,0.113,0,"10"
"KCNIP4",0,2.49620570970622,0.65,0.241,0,"10"
"KCNQ5",0,2.45341123807685,0.658,0.105,0,"10"
"SYT1",0,2.44754902247482,0.994,0.252,0,"10"
"TENM2",0,2.44297436226356,0.589,0.121,0,"10"
"FAM19A2",0,2.33800504930939,0.49,0.102,0,"10"
"KHDRBS2",0,2.2495064441465,0.575,0.128,0,"10"
"SNTG1",0,2.22107643339384,0.793,0.151,0,"10"
"GRIK1",0,3.6987112687898,0.573,0.065,0,"11"
"ZNF385D",0,3.23023456136279,0.698,0.064,0,"11"
"SST",0,3.00010059072471,0.302,0.009,0,"11"
"ROBO2",0,2.94364355242985,0.571,0.147,0,"11"
"NXPH1",0,2.8760579354697,0.591,0.043,0,"11"
"KIAA1217",0,2.83393456176316,0.561,0.096,0,"11"
"CNTNAP2",0,2.80658932232118,0.751,0.295,0,"11"
"KCNC2",0,2.69163169680059,0.66,0.071,0,"11"
"GAD1",0,2.68975497839551,0.677,0.044,0,"11"
"DLGAP1",0,2.66778849390036,0.729,0.211,0,"11"
"CXCL14",0,3.46634629011231,0.575,0.016,0,"12"
"DLX6-AS1",0,3.39809632628208,0.76,0.02,0,"12"
"CCK",0,3.16878114520648,0.575,0.115,0,"12"
"SYNPR",0,3.1257787705241,0.77,0.05,0,"12"
"CNR1",0,2.99534076321601,0.563,0.03,0,"12"
"GALNTL6",0,2.92243765112346,0.477,0.061,0,"12"
"VIP",0,2.83750735543116,0.458,0.002,0,"12"
"ADARB2",0,2.83051743517629,0.622,0.307,0,"12"
"RGS12",0,2.59292684162425,0.765,0.151,0,"12"
"ROBO2",0,2.51509178115684,0.663,0.146,0,"12"
"SNHG14",0,2.47513142766496,0.86,0.206,0,"13"
"MEG3",0,2.47100420088304,0.854,0.204,0,"13"
"SYT1",0,1.54543739489918,0.632,0.266,0,"13"
"CCDC144A",7.67650360569491e-264,1.84734999159695,0.265,0.095,3.32407959133801e-259,"13"
"CHN1",1.41392537385655e-200,1.66303593749448,0.448,0.28,6.12257965387365e-196,"13"
"RIMS2",7.52960523184606e-139,1.59633188228053,0.306,0.171,3.26046965749398e-134,"13"
"MIAT",2.23549869548075e-120,1.63786946683159,0.27,0.149,9.68015645117076e-116,"13"
"LINC00632",5.91476266348751e-97,1.69317663668339,0.419,0.354,2.56121052854336e-92,"13"
"SCN2A",2.86189770277169e-92,1.58264148979883,0.275,0.174,1.2392589432542e-87,"13"
"STXBP5L",5.25947035534426e-89,1.61411555514156,0.281,0.178,2.27745585327117e-84,"13"
"ENC1",0,3.41740442581581,0.761,0.114,0,"14"
"CHN1",0,3.37571393967764,0.921,0.271,0,"14"
"NRGN",0,3.26217130902618,0.794,0.144,0,"14"
"SNAP25",0,3.17127766484096,0.904,0.259,0,"14"
"SLC17A7",0,3.07098443419841,0.678,0.095,0,"14"
"VSNL1",0,2.99482342248457,0.701,0.148,0,"14"
"STMN2",0,2.95902076836764,0.6,0.106,0,"14"
"NEFL",0,2.95069258347901,0.568,0.083,0,"14"
"THY1",0,2.94444184712616,0.653,0.131,0,"14"
"CCK",0,2.94108977155554,0.617,0.116,0,"14"
"GFAP",0,3.35102876416535,0.49,0.17,0,"15"
"VIM",0,2.81785075547788,0.318,0.074,0,"15"
"CLU",0,2.15618329057478,0.667,0.432,0,"15"
"APOE",2.48698380557323e-274,2.25360176119961,0.365,0.148,1.07691372748932e-269,"15"
"CST3",2.08711758482202e-248,2.52773871907922,0.383,0.176,9.03763656579633e-244,"15"
"AQP4",3.65006938249759e-240,2.03806284020705,0.285,0.102,1.58055304400911e-235,"15"
"FAM107A",2.72603071262444e-188,2.21080135228505,0.262,0.105,1.18042581918063e-183,"15"
"SPARC",6.351605164464e-140,2.04041463473698,0.268,0.128,2.7503720683162e-135,"15"
"CPE",1.16576448447034e-68,1.59871122290584,0.333,0.232,5.04799337065345e-64,"15"
"DPP10",2.15660778041884e-36,1.74979791856692,0.321,0.255,9.33854301076967e-32,"15"
"FLT1",0,4.66974094104094,0.703,0.013,0,"16"
"CLDN5",0,4.6546796643646,0.719,0.006,0,"16"
"ABCB1",0,4.1612931816761,0.613,0.01,0,"16"
"ADAMTS9",0,3.86405541552603,0.487,0.029,0,"16"
"EPAS1",0,3.83175297311765,0.762,0.02,0,"16"
"IFITM3",0,3.78166447634284,0.688,0.055,0,"16"
"MT2A",0,3.6987577728065,0.687,0.169,0,"16"
"IFI27",0,3.60379343220049,0.52,0.013,0,"16"
"TMSB10",0,3.45720440628704,0.731,0.22,0,"16"
