"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KIAA1211L",2.64083708009074e-129,0.284410717909079,0.418,0.15,5.28167416018147e-126,"23","KIAA1211L"
"CD74",3.75863000426208e-129,2.19067707025692,0.587,0.278,7.51726000852417e-126,"23","CD74"
"GNB4",7.20066911453233e-129,1.26983933982558,0.563,0.271,1.44013382290647e-125,"23","GNB4"
"RYR1",3.58791545378684e-128,1.03079296989483,0.562,0.304,7.17583090757369e-125,"23","RYR1"
"MSR1",4.78280074708958e-128,1.30702419921334,0.547,0.274,9.56560149417916e-125,"23","MSR1"
"USP532",6.07959679931111e-128,1.2302777211702,0.605,0.386,1.21591935986222e-124,"23","USP53"
"CMTM7",9.58868663664597e-126,0.69819928334377,0.501,0.233,1.91773732732919e-122,"23","CMTM7"
"ST8SIA4",6.75533778095408e-125,0.975888657989496,0.472,0.202,1.35106755619082e-121,"23","ST8SIA4"
"ARHGAP63",1.77420862003146e-122,1.15004754670099,0.609,0.362,3.54841724006293e-119,"23","ARHGAP6"
"LINC01091",1.77695130055394e-122,0.459100557189811,0.487,0.26,3.55390260110788e-119,"23","LINC01091"
"PHACTR21",7.5448096731763e-121,0.721845245386647,0.552,0.316,1.50896193463526e-117,"23","PHACTR2"
"ARHGAP181",2.64434928049291e-120,0.780050094145439,0.534,0.295,5.28869856098582e-117,"23","ARHGAP18"
"IGSF213",2.72366097652845e-120,0.6753105872008,0.506,0.2,5.4473219530569e-117,"23","IGSF21"
"E2F32",1.2660363471809e-119,0.512860930252816,0.446,0.163,2.53207269436181e-116,"23","E2F3"
"HSPA64",1.41778459139783e-119,0.732701275299117,0.668,0.478,2.83556918279565e-116,"23","HSPA6"
"FNDC3B6",1.74602344961802e-119,0.950568368870203,0.691,0.454,3.49204689923603e-116,"23","FNDC3B"
"BST2",7.52311938905311e-116,0.51533399462117,0.485,0.224,1.50462387781062e-112,"23","BST2"
"HSPB16",2.7657995730796e-115,0.771253843272503,0.779,0.578,5.5315991461592e-112,"23","HSPB1"
"BAG35",5.32921892120129e-115,0.547507209097047,0.739,0.559,1.06584378424026e-111,"23","BAG3"
"VEGFA4",1.70549337205331e-114,0.691912411054154,0.573,0.324,3.41098674410661e-111,"23","VEGFA"
"MRC1",1.05307238140392e-113,0.38468182464152,0.451,0.18,2.10614476280784e-110,"23","MRC1"
"FTL5",1.51208002833778e-113,1.43193517198799,0.806,0.612,3.02416005667556e-110,"23","FTL"
"AOAH1",1.77343643189189e-112,1.34365090688297,0.592,0.299,3.54687286378378e-109,"23","AOAH"
"TNS33",3.21189729593678e-112,0.85554117492269,0.599,0.341,6.42379459187355e-109,"23","TNS3"
"MAMLD13",4.62826674669773e-112,0.321866686325702,0.53,0.271,9.25653349339545e-109,"23","MAMLD1"
"CXCR4",3.49671282876433e-111,0.776151038809187,0.473,0.198,6.99342565752866e-108,"23","CXCR4"
"DISC13",2.20954556154913e-110,1.12098821836764,0.675,0.379,4.41909112309826e-107,"23","DISC1"
"ADAMTS173",2.96112207882767e-110,0.717606105723861,0.565,0.317,5.92224415765535e-107,"23","ADAMTS17"
"FMN1",3.08331964722067e-109,1.53694135819362,0.514,0.207,6.16663929444134e-106,"23","FMN1"
"CSF3R",5.59652251580086e-109,1.08986971158568,0.492,0.182,1.11930450316017e-105,"23","CSF3R"
