"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ABCA6",0,1.4630986318479,0.936,0.7,0,"0","ABCA6"
"XIST",0,1.25989711065941,0.886,0.46,0,"0","XIST"
"RANBP17",0,1.17290945074097,0.785,0.614,0,"0","RANBP17"
"LURAP1L-AS1",0,1.09236966513838,0.823,0.597,0,"0","LURAP1L-AS1"
"GPC5",0,1.02837325650676,0.614,0.519,0,"0","GPC5"
"ENPP6",0,0.904354558404049,0.657,0.552,0,"0","ENPP6"
"KCTD8",0,0.818730894335983,0.822,0.675,0,"0","KCTD8"
"ZDHHC20",0,0.814826257017277,0.933,0.818,0,"0","ZDHHC20"
"LINC00609",0,0.799353597735188,0.947,0.767,0,"0","LINC00609"
"S100B",0,0.741813346579216,0.699,0.549,0,"0","S100B"
"AC026316.5",0,0.735354402342039,0.968,0.856,0,"0","AC026316.5"
"DPYSL5",0,0.688620126122869,0.795,0.703,0,"0","DPYSL5"
"SLC5A11",0,0.681463491362242,0.827,0.678,0,"0","SLC5A11"
"NKAIN2",0,0.533762279861648,0.994,0.903,0,"0","NKAIN2"
"ST6GALNAC3",0,0.527062964945681,0.904,0.802,0,"0","ST6GALNAC3"
"PLP1",0,0.510602517347476,0.99,0.951,0,"0","PLP1"
"LRP2",1.47306211251387e-304,0.604715900385366,0.845,0.747,2.94612422502774e-301,"0","LRP2"
"SPP1",1.91132891064756e-285,0.475450800645411,0.813,0.687,3.82265782129512e-282,"0","SPP1"
"PCSK6",2.19014708695342e-269,0.503610932008175,0.922,0.841,4.38029417390685e-266,"0","PCSK6"
"ABCA9",5.30144958473693e-266,0.772036331097982,0.602,0.556,1.06028991694739e-262,"0","ABCA9"
"ACTN2",5.16820530791932e-248,0.682161559370335,0.651,0.571,1.03364106158386e-244,"0","ACTN2"
"TUBA1A",2.39596558406563e-240,0.505398246872126,0.771,0.65,4.79193116813125e-237,"0","TUBA1A"
"AFF3",1.53000774541862e-236,0.893752281789868,0.638,0.589,3.06001549083724e-233,"0","AFF3"
"COL18A1",1.2560459535649e-234,0.784340296315511,0.622,0.571,2.51209190712981e-231,"0","COL18A1"
"SLC25A29",3.20845756941822e-234,0.628464360229338,0.637,0.539,6.41691513883643e-231,"0","SLC25A29"
"KIRREL3",5.05147984191215e-233,0.33618259122813,0.965,0.854,1.01029596838243e-229,"0","KIRREL3"
"ANKRD18A",1.59491515885823e-231,0.728075525789485,0.644,0.566,3.18983031771646e-228,"0","ANKRD18A"
"RYR2",2.19878039383646e-226,0.589780888869299,0.658,0.554,4.39756078767291e-223,"0","RYR2"
"NEGR1",8.9928191578022e-217,0.497317459337535,0.765,0.671,1.79856383156044e-213,"0","NEGR1"
"BCL2",5.15977056158984e-214,0.550774081701613,0.746,0.657,1.03195411231797e-210,"0","BCL2"
"MOBP",4.77618460683203e-211,0.30342195517772,0.964,0.876,9.55236921366407e-208,"0","MOBP"
"CYP7B1",3.39004378200468e-202,0.622772340143713,0.664,0.568,6.78008756400935e-199,"0","CYP7B1"
"AC027117.2",2.48118486131326e-189,0.61667021075361,0.539,0.49,4.96236972262653e-186,"0","AC027117.2"
"CNTNAP4",1.05386632464017e-162,0.291417662607192,0.839,0.747,2.10773264928034e-159,"0","CNTNAP4"
"CALN1",3.73559882582779e-156,0.569964583691098,0.7,0.671,7.47119765165558e-153,"0","CALN1"
"LMCD1-AS1",7.82933978930297e-144,0.300458896635933,0.785,0.693,1.56586795786059e-140,"0","LMCD1-AS1"
"APOD",9.88941725097314e-141,0.375281347695064,0.632,0.52,1.97788345019463e-137,"0","APOD"
"B2M",1.22199840279152e-139,0.257955229792558,0.661,0.536,2.44399680558304e-136,"0","B2M"
"LINC01505",1.3809675687911e-127,0.404223249163291,0.625,0.571,2.76193513758221e-124,"0","LINC01505"
"PHACTR1",1.09652151242071e-116,0.409125212893384,0.708,0.666,2.19304302484142e-113,"0","PHACTR1"
"CNTNAP3",9.28022816755844e-116,0.600254801482431,0.47,0.449,1.85604563351169e-112,"0","CNTNAP3"
"AGMO",1.47243119062012e-109,0.507395503055756,0.49,0.445,2.94486238124023e-106,"0","AGMO"
"AC090502.1",1.36928852507158e-108,0.358385479446132,0.623,0.553,2.73857705014316e-105,"0","AC090502.1"
"PDE4D",2.39257451411146e-108,0.281404958870424,0.705,0.631,4.78514902822291e-105,"0","PDE4D"
"MYRIP",3.11965579883952e-106,0.555618845262877,0.62,0.601,6.23931159767904e-103,"0","MYRIP"
"FSTL5",3.89480466423515e-103,0.493531258319123,0.436,0.428,7.78960932847029e-100,"0","FSTL5"
"CDKN1C",1.04806229525723e-99,0.518795839089379,0.496,0.429,2.09612459051446e-96,"0","CDKN1C"
"KANK4",1.25042596128914e-99,0.375083818688619,0.401,0.364,2.50085192257829e-96,"0","KANK4"
"MAGEC3",5.93301170564356e-97,0.545071443068719,0.553,0.52,1.18660234112871e-93,"0","MAGEC3"
"MYLK",4.24944457230975e-93,0.595740691960764,0.472,0.422,8.49888914461951e-90,"0","MYLK"
"TMPRSS5",1.53756165525502e-90,0.276195268953578,0.53,0.473,3.07512331051004e-87,"0","TMPRSS5"
"CFTR",2.37024393849833e-82,0.330520674863782,0.4,0.362,4.74048787699666e-79,"0","CFTR"
"RAD51B",1.15609594311835e-81,0.339401042041252,0.621,0.565,2.3121918862367e-78,"0","RAD51B"
"CDH8",5.19048282941208e-81,0.501364380628164,0.568,0.555,1.03809656588242e-77,"0","CDH8"
"LINC02511",2.32775031821751e-80,0.513987764771208,0.418,0.402,4.65550063643502e-77,"0","LINC02511"
"TMEM178A",5.59479767086823e-80,0.422276884661356,0.45,0.453,1.11895953417365e-76,"0","TMEM178A"
"MT3",1.41464959919446e-75,0.262029763666888,0.39,0.32,2.82929919838892e-72,"0","MT3"
"SORL1",2.09957152533301e-75,0.387960992133169,0.656,0.663,4.19914305066602e-72,"0","SORL1"
"ADAMTS18",4.45117838946069e-75,0.275878813385258,0.595,0.555,8.90235677892139e-72,"0","ADAMTS18"
"LHFPL6",7.04220533424915e-68,0.335719694774779,0.488,0.443,1.40844106684983e-64,"0","LHFPL6"
"PLD5",2.68287369195526e-66,0.35720459184549,0.622,0.588,5.36574738391051e-63,"0","PLD5"
"AL662796.1",8.85466883375127e-64,0.396918189048993,0.491,0.478,1.77093376675025e-60,"0","AL662796.1"
"POT1-AS1",6.04291756105792e-61,0.484771851578605,0.48,0.462,1.20858351221158e-57,"0","POT1-AS1"
"UBA6-AS1",2.56488717015843e-49,0.256975045779853,0.431,0.404,5.12977434031686e-46,"0","UBA6-AS1"
"PLEKHG1",7.69243744844055e-46,0.443655364905842,0.43,0.434,1.53848748968811e-42,"0","PLEKHG1"
"SCRG1",2.31968784169954e-38,0.33091445913044,0.347,0.329,4.63937568339909e-35,"0","SCRG1"
"P3H2",3.95505048675135e-38,0.421535485506946,0.45,0.472,7.9101009735027e-35,"0","P3H2"
"AC007364.1",1.04513666688679e-37,0.265375488117296,0.482,0.479,2.09027333377359e-34,"0","AC007364.1"
"ABHD5",3.93696598812651e-35,0.365497030843029,0.435,0.446,7.87393197625302e-32,"0","ABHD5"
"CPXM2",1.69751089865368e-34,0.425015521531857,0.377,0.381,3.39502179730737e-31,"0","CPXM2"
"FGD4",2.58811279992744e-26,0.30258011698349,0.464,0.485,5.17622559985488e-23,"0","FGD4"
"SETBP1",1.17620652178267e-24,0.295525629979501,0.492,0.523,2.35241304356533e-21,"0","SETBP1"
"LGR4",4.12672609962715e-24,0.357654596515996,0.569,0.607,8.2534521992543e-21,"0","LGR4"
"AC010884.1",1.31316044510382e-23,0.337407354603319,0.396,0.428,2.62632089020764e-20,"0","AC010884.1"
"RELN",1.45739836127679e-23,0.285241434940536,0.486,0.488,2.91479672255358e-20,"0","RELN"
"NPTX2",2.25448587281585e-22,0.302159713922208,0.39,0.402,4.5089717456317e-19,"0","NPTX2"
"ADAMTS19",6.6223479964086e-20,0.29022771732584,0.439,0.459,1.32446959928172e-16,"0","ADAMTS19"
"DHCR24",1.01560673737411e-18,0.389008128614717,0.39,0.413,2.03121347474822e-15,"0","DHCR24"
"AC112206.2",2.59658775685035e-16,0.260272926717392,0.378,0.413,5.1931755137007e-13,"0","AC112206.2"
"TOX3",1.42907980855653e-14,0.3713562644384,0.463,0.512,2.85815961711306e-11,"0","TOX3"
"FBXO32",3.34628674004704e-14,0.266145108785951,0.521,0.56,6.69257348009408e-11,"0","FBXO32"
"GULP1",2.19446862636663e-12,0.309024995046716,0.447,0.484,4.38893725273326e-09,"0","GULP1"
"USH1C",4.17491743141961e-12,0.394152124103353,0.294,0.305,8.34983486283921e-09,"0","USH1C"
"LGALS1",7.84121737186182e-11,0.289108199187333,0.285,0.314,1.56824347437236e-07,"0","LGALS1"
"MBOAT1",4.17704315894353e-06,0.274325564410726,0.383,0.441,0.00835408631788705,"0","MBOAT1"
"SGCZ",0.000173612737818533,0.495259705911968,0.471,0.515,0.347225475637066,"0","SGCZ"
"MT-ND3",0,1.10337713930255,0.902,0.529,0,"1","MT-ND3"
"MT-CO2",0,1.06696067611743,0.922,0.594,0,"1","MT-CO2"
"CRYAB",0,0.893742187195425,0.965,0.796,0,"1","CRYAB"
"MT-ATP6",0,0.832502673514393,0.852,0.54,0,"1","MT-ATP6"
"HSPA1A",0,0.801202784088978,0.98,0.799,0,"1","HSPA1A"
"MT-ND4",0,0.717812028015806,0.854,0.518,0,"1","MT-ND4"
"MT-CO3",0,0.688682951887499,0.836,0.555,0,"1","MT-CO3"
"PLXDC2",0,0.630943250411804,0.905,0.656,0,"1","PLXDC2"
"SPP11",0,0.610903690727674,0.843,0.686,0,"1","SPP1"
"RELN1",0,0.600338407432281,0.708,0.471,0,"1","RELN"
"PLP11",0,0.596014450175514,0.998,0.951,0,"1","PLP1"
"DYSF",0,0.580836896654239,0.734,0.488,0,"1","DYSF"
"MT-ND2",0,0.546968625968321,0.778,0.486,0,"1","MT-ND2"
"FTL",0,0.538965966167008,0.814,0.599,0,"1","FTL"
"HSPA1B",0,0.412314087463519,0.793,0.586,0,"1","HSPA1B"
"LINC02240",0,0.406738237860446,0.669,0.473,0,"1","LINC02240"
"AC090518.1",0,0.300138589137761,0.622,0.439,0,"1","AC090518.1"
"CA2",2.71035894755286e-288,0.672353721117599,0.746,0.528,5.42071789510571e-285,"1","CA2"
"C9orf153",1.57905304691779e-278,0.305864613238036,0.585,0.399,3.15810609383557e-275,"1","C9orf153"
"LINC01608",2.022291195004e-253,0.430801377768991,0.835,0.605,4.044582390008e-250,"1","LINC01608"
"TMPRSS51",7.6681775040507e-242,0.387015653024396,0.656,0.464,1.53363550081014e-238,"1","TMPRSS5"
"BAALC-AS1",4.4561324617305e-195,0.254704256120511,0.545,0.363,8.912264923461e-192,"1","BAALC-AS1"
"CHRM5",1.24086740191816e-194,0.328084825091122,0.567,0.365,2.48173480383632e-191,"1","CHRM5"
"ZNF365",6.47592587043432e-193,0.620564213510267,0.767,0.562,1.29518517408686e-189,"1","ZNF365"
"MT-ND1",3.90688276178516e-188,0.347477369020432,0.653,0.462,7.81376552357033e-185,"1","MT-ND1"
"TUBA1A1",1.04315742666923e-186,0.430499883749698,0.802,0.649,2.08631485333846e-183,"1","TUBA1A"
"AZGP1",5.35007118394033e-184,0.553740454773949,0.473,0.279,1.07001423678807e-180,"1","AZGP1"
"APOD1",4.44318657132926e-183,0.410577174103736,0.711,0.515,8.88637314265853e-180,"1","APOD"
"UBB",1.07171382984409e-173,0.338464769100083,0.753,0.574,2.14342765968818e-170,"1","UBB"
"LAMA2",5.28286390711594e-159,0.460496781062187,0.61,0.425,1.05657278142319e-155,"1","LAMA2"
"LRRC7",5.20776113838782e-149,0.290343711998821,0.912,0.744,1.04155222767756e-145,"1","LRRC7"
"CD9",7.58643041491946e-142,0.522108808524869,0.716,0.583,1.51728608298389e-138,"1","CD9"
"LINC00844",9.05637034655161e-130,0.681515081434803,0.507,0.303,1.81127406931032e-126,"1","LINC00844"
"TUBA1B",3.34327173465033e-123,0.470522837437205,0.534,0.357,6.68654346930067e-120,"1","TUBA1B"
"TMSB4X",2.00696605655033e-88,0.350374193955658,0.561,0.407,4.01393211310065e-85,"1","TMSB4X"
"FCHSD2",4.59044984906474e-81,0.253563450496789,0.779,0.607,9.18089969812948e-78,"1","FCHSD2"
"OPALIN",4.45110302875153e-78,0.289764542084871,0.573,0.416,8.90220605750306e-75,"1","OPALIN"
"HHIP",2.14835138600783e-77,0.290338422948567,0.712,0.582,4.29670277201566e-74,"1","HHIP"
"PEA15",2.09614986260961e-45,0.405510172553727,0.426,0.3,4.19229972521923e-42,"1","PEA15"
"PRDX1",3.11192199677397e-41,0.388495205571091,0.492,0.374,6.22384399354794e-38,"1","PRDX1"
"MT31",2.15817777243111e-37,0.414690144514657,0.436,0.317,4.31635554486222e-34,"1","MT3"
"SPARC",1.38549492062981e-34,0.314906613553413,0.391,0.275,2.77098984125963e-31,"1","SPARC"
"RNASE1",1.04033068548328e-31,0.287609785583003,0.48,0.386,2.08066137096656e-28,"1","RNASE1"
"CDKN1C1",9.18683257243182e-31,0.419794436097258,0.509,0.429,1.83736651448637e-27,"1","CDKN1C"
"CLU",1.23284980984313e-28,0.289410817943363,0.465,0.359,2.46569961968626e-25,"1","CLU"
"NPTX21",2.28891766677566e-18,0.313372050720463,0.465,0.396,4.57783533355133e-15,"1","NPTX2"
"NDUFB2",3.94309711583578e-09,0.273977042539753,0.36,0.282,7.88619423167155e-06,"1","NDUFB2"
"RPL7",2.41015993664899e-05,0.424014743245377,0.353,0.269,0.0482031987329798,"1","RPL7"
"DBI",0.00167645446632206,0.348711492690132,0.33,0.259,1,"1","DBI"
"LINC015051",0,1.40278347250438,0.765,0.563,0,"2","LINC01505"
"CNTNAP41",0,1.14044435817387,0.969,0.74,0,"2","CNTNAP4"
"LMCD1-AS11",0,1.12038439092515,0.914,0.686,0,"2","LMCD1-AS1"
"KIRREL31",0,1.0639623589453,0.996,0.855,0,"2","KIRREL3"
"MOBP1",0,1.06365667756365,0.994,0.876,0,"2","MOBP"
"UNC5C",0,1.05812652035705,0.997,0.869,0,"2","UNC5C"
"AC090502.11",0,1.00960919552267,0.761,0.545,0,"2","AC090502.1"
"CALN11",0,1.00339728981229,0.808,0.665,0,"2","CALN1"
"LINC006091",0,0.988409926124183,0.982,0.769,0,"2","LINC00609"
"NKAIN21",0,0.987604638679064,1,0.905,0,"2","NKAIN2"
"PDE4D1",0,0.978894595859505,0.861,0.623,0,"2","PDE4D"
"KCTD81",0,0.969190014686867,0.874,0.675,0,"2","KCTD8"
"PPP2R2B",0,0.895728420490968,0.996,0.898,0,"2","PPP2R2B"
"CDH81",0,0.885495640264136,0.677,0.548,0,"2","CDH8"
"HS3ST5",0,0.871798949227154,0.835,0.602,0,"2","HS3ST5"
"ADAMTS181",0,0.828238399921821,0.726,0.548,0,"2","ADAMTS18"
"RYR21",0,0.761309351074267,0.71,0.553,0,"2","RYR2"
"PALM2",0,0.74917126724374,0.807,0.634,0,"2","PALM2"
"AC098829.1",0,0.720479285578064,0.635,0.487,0,"2","AC098829.1"
"ST6GALNAC31",0,0.713000528422115,0.958,0.801,0,"2","ST6GALNAC3"
"BCL21",0,0.709023564379893,0.789,0.656,0,"2","BCL2"
"AC087564.1",0,0.705003011184503,0.706,0.548,0,"2","AC087564.1"
"HDAC2-AS2",0,0.66020532150725,0.914,0.727,0,"2","HDAC2-AS2"
"DPYSL51",0,0.649577153974093,0.851,0.702,0,"2","DPYSL5"
"AC026316.51",0,0.62224142610438,0.974,0.858,0,"2","AC026316.5"
"NLGN4Y",0,0.598560589398221,0.678,0.519,0,"2","NLGN4Y"
"FHIT",0,0.57673847033333,0.925,0.803,0,"2","FHIT"
"NEGR11",5.68908604533572e-306,0.609284575034637,0.814,0.67,1.13781720906714e-302,"2","NEGR1"
"LRP21",5.8525940958685e-286,0.458954309235797,0.886,0.746,1.1705188191737e-282,"2","LRP2"
"PDE1A",3.32377857775831e-283,0.560435200266354,0.797,0.643,6.64755715551662e-280,"2","PDE1A"
"SGCD",1.42423546295193e-251,0.521003704408882,0.757,0.624,2.84847092590386e-248,"2","SGCD"
"LINC01182",2.91314103118045e-250,0.807783087457322,0.463,0.363,5.82628206236091e-247,"2","LINC01182"
"HHIP1",4.77188487676377e-248,0.433024730335336,0.786,0.579,9.54376975352754e-245,"2","HHIP"
"BCAS1",2.26339111825789e-244,0.289737001384956,0.951,0.831,4.52678223651578e-241,"2","BCAS1"
"ENPP61",4.4420105083761e-241,0.578238042772773,0.643,0.555,8.8840210167522e-238,"2","ENPP6"
"AC027117.21",5.57823495575326e-240,0.792807917120441,0.573,0.488,1.11564699115065e-236,"2","AC027117.2"
"RAD51B1",1.27712479826542e-239,0.671315335545108,0.694,0.562,2.55424959653084e-236,"2","RAD51B"
"LINC01170",2.83206520911401e-236,0.751760244665115,0.635,0.502,5.66413041822802e-233,"2","LINC01170"
"IQCJ-SCHIP1",4.85317420056611e-231,0.620009384160501,0.686,0.565,9.70634840113223e-228,"2","IQCJ-SCHIP1"
"C5orf17",1.11506744158453e-221,1.1280458539807,0.505,0.458,2.23013488316906e-218,"2","C5orf17"
"ENOX2",6.63886201329955e-217,0.580549448292131,0.589,0.459,1.32777240265991e-213,"2","ENOX2"
"ASTN2",2.80979137208195e-210,0.370766923566553,0.816,0.655,5.6195827441639e-207,"2","ASTN2"
"RANBP171",6.19292502724301e-203,0.433384044280067,0.693,0.624,1.2385850054486e-199,"2","RANBP17"
"NAV3",4.75443667988869e-200,0.309271776918385,0.753,0.613,9.50887335977738e-197,"2","NAV3"
"SLC5A111",3.40803852718699e-188,0.405797121906064,0.8,0.683,6.81607705437397e-185,"2","SLC5A11"
"AC012593.1",1.67187428996481e-186,0.702442842800354,0.592,0.481,3.34374857992962e-183,"2","AC012593.1"
"AGMO1",1.85006707618565e-175,0.681966673100651,0.506,0.445,3.7001341523713e-172,"2","AGMO"
"CYP7B11",1.14581419069876e-159,0.546115702223443,0.663,0.57,2.29162838139753e-156,"2","CYP7B1"
"TRIM59",1.90579802892711e-158,0.354980202736057,0.303,0.219,3.81159605785422e-155,"2","TRIM59"
"CEMIP",3.18012090434494e-152,0.438211186853209,0.385,0.355,6.36024180868988e-149,"2","CEMIP"
"AL589740.1",1.18786397612135e-149,0.471865315182039,0.688,0.605,2.37572795224271e-146,"2","AL589740.1"
"MYRIP1",5.22265209031398e-146,0.46219290439436,0.639,0.601,1.0445304180628e-142,"2","MYRIP"
"LDLRAD4",9.48162260896715e-142,0.255296376278932,0.665,0.556,1.89632452179343e-138,"2","LDLRAD4"
"ACTN21",1.87231083318279e-130,0.404087722739552,0.632,0.574,3.74462166636558e-127,"2","ACTN2"
"AKIRIN1",1.55592617094597e-124,0.282950883293032,0.525,0.449,3.11185234189194e-121,"2","AKIRIN1"
"LINC00877",1.25896586063111e-120,0.544873391116775,0.572,0.524,2.51793172126222e-117,"2","LINC00877"
"LINC025111",2.99890988457088e-111,0.594396671693487,0.422,0.403,5.99781976914177e-108,"2","LINC02511"
"ATG10",2.00417403966759e-108,0.483720894671011,0.48,0.418,4.00834807933517e-105,"2","ATG10"
"AFF31",2.77699182944919e-106,0.554143891596733,0.601,0.593,5.55398365889838e-103,"2","AFF3"
"CC2D2B",3.34952372391108e-105,0.434372124996161,0.393,0.385,6.69904744782216e-102,"2","CC2D2B"
"AL354809.1",1.14459880666578e-88,0.550471942660698,0.534,0.493,2.28919761333156e-85,"2","AL354809.1"
"LINC01376",1.93768618325823e-87,0.494668376119015,0.361,0.333,3.87537236651646e-84,"2","LINC01376"
"AP000282.1",1.64708391451987e-84,0.583415092528381,0.469,0.44,3.29416782903974e-81,"2","AP000282.1"
"DPH6",1.61193887283865e-82,0.369392894234275,0.477,0.429,3.2238777456773e-79,"2","DPH6"
"AC025159.1",9.41406217894695e-81,0.338544792472448,0.59,0.545,1.88281243578939e-77,"2","AC025159.1"
"AC007364.11",1.09838289225908e-80,0.567827661035812,0.506,0.477,2.19676578451816e-77,"2","AC007364.1"
"PLEKHG11",5.13629971396289e-76,0.270817242434327,0.443,0.433,1.02725994279258e-72,"2","PLEKHG1"
"EXT1",4.97278264904942e-75,0.472019008974588,0.546,0.509,9.94556529809885e-72,"2","EXT1"
"GNA14",1.45272572583447e-73,0.403764364452016,0.367,0.374,2.90545145166894e-70,"2","GNA14"
"FGD41",4.54761733948177e-73,0.335046390412115,0.507,0.482,9.09523467896355e-70,"2","FGD4"
"KCNAB1",5.21163437783326e-70,0.361685000713291,0.527,0.478,1.04232687556665e-66,"2","KCNAB1"
"STPG2",5.80810298269375e-68,0.457931293735362,0.493,0.471,1.16162059653875e-64,"2","STPG2"
"INPP4B",2.50940998000509e-64,0.322039042235608,0.332,0.328,5.01881996001019e-61,"2","INPP4B"
"TSHR",9.64354979703163e-64,0.425100293262373,0.368,0.379,1.92870995940633e-60,"2","TSHR"
"AC007262.2",7.55377000036506e-63,0.642569868273796,0.403,0.388,1.51075400007301e-59,"2","AC007262.2"
"FBXL17",8.81407719366261e-63,0.318866675526355,0.477,0.441,1.76281543873252e-59,"2","FBXL17"
"AC233296.1",1.22282881561479e-61,0.494018743006061,0.426,0.414,2.44565763122958e-58,"2","AC233296.1"
"CFTR1",4.16877311419584e-60,0.356179197956575,0.379,0.365,8.33754622839167e-57,"2","CFTR"
"CENPP",1.01330832569209e-59,0.411282699955764,0.399,0.379,2.02661665138419e-56,"2","CENPP"
"AC078881.1",2.0968818990402e-59,0.526695139885397,0.41,0.401,4.1937637980804e-56,"2","AC078881.1"
"AC002429.2",3.25638197326452e-54,0.350040074380795,0.415,0.433,6.51276394652904e-51,"2","AC002429.2"
"CDH12",8.65999972837255e-54,0.347694911553028,0.491,0.519,1.73199994567451e-50,"2","CDH12"
"TENM3",2.6554857485018e-53,0.485979495129439,0.398,0.422,5.3109714970036e-50,"2","TENM3"
"XKR6",3.58054219639206e-53,0.357354041128175,0.554,0.548,7.16108439278412e-50,"2","XKR6"
"IMMP2L",3.68935321395104e-53,0.343566665006479,0.599,0.567,7.37870642790208e-50,"2","IMMP2L"
"LHFPL61",2.45252103577048e-52,0.501263742460985,0.453,0.446,4.90504207154095e-49,"2","LHFPL6"
"AL662796.11",1.00207934289725e-51,0.499551477986113,0.472,0.479,2.0041586857945e-48,"2","AL662796.1"
"RNLS",8.83699501681688e-48,0.432893241701589,0.348,0.353,1.76739900336338e-44,"2","RNLS"
"SETBP11",7.06226030140927e-45,0.420314294480398,0.492,0.522,1.41245206028185e-41,"2","SETBP1"
"LINC01266",1.33927086097693e-44,0.276296075280417,0.316,0.337,2.67854172195386e-41,"2","LINC01266"
"CCDC102B",1.60950952571244e-44,0.29809968883083,0.342,0.349,3.21901905142489e-41,"2","CCDC102B"
"AC034195.1",3.66085598812615e-44,0.505422168591484,0.385,0.402,7.3217119762523e-41,"2","AC034195.1"
"KCTD1",4.60543574466138e-43,0.347325373617961,0.369,0.369,9.21087148932276e-40,"2","KCTD1"
"DPH6-DT",3.5380283926559e-40,0.417971122616759,0.483,0.477,7.07605678531179e-37,"2","DPH6-DT"
"EYA4",6.07649974470709e-39,0.40864067043477,0.443,0.467,1.21529994894142e-35,"2","EYA4"
"TOX31",2.33127085016336e-38,0.421740356600573,0.475,0.51,4.66254170032673e-35,"2","TOX3"
"PRELID2",1.79389334762787e-36,0.33130966479195,0.352,0.368,3.58778669525575e-33,"2","PRELID2"
"POT1-AS11",7.49931337317981e-36,0.36543502223847,0.444,0.464,1.49986267463596e-32,"2","POT1-AS1"
"MTERF1",7.8254185674783e-35,0.29425402031052,0.443,0.447,1.56508371349566e-31,"2","MTERF1"
"TMEM232",3.9331597266239e-34,0.34183444217529,0.334,0.351,7.8663194532478e-31,"2","TMEM232"
"AC138627.1",1.61868787129295e-32,0.39840322501694,0.379,0.396,3.23737574258589e-29,"2","AC138627.1"
"AL392023.2",6.5175047478781e-30,0.438104618188003,0.386,0.405,1.30350094957562e-26,"2","AL392023.2"
"EPM2A",2.74042584575913e-29,0.268026742333396,0.312,0.33,5.48085169151827e-26,"2","EPM2A"
"JPH1",6.33490121022879e-28,0.291781992981078,0.312,0.358,1.26698024204576e-24,"2","JPH1"
"FILIP1L",1.08981241949152e-27,0.267337034962219,0.364,0.391,2.17962483898304e-24,"2","FILIP1L"
"SGCZ1",8.48436867490228e-27,0.275525363993697,0.371,0.52,1.69687373498046e-23,"2","SGCZ"
"P3H21",1.03218739706523e-24,0.355144619660884,0.419,0.473,2.06437479413046e-21,"2","P3H2"
"AHCYL2",3.72137828466915e-24,0.276247438092014,0.475,0.486,7.4427565693383e-21,"2","AHCYL2"
"CHODL",5.53365809431015e-22,0.253728633820842,0.267,0.413,1.10673161886203e-18,"2","CHODL"
"MACROD2",4.88207243893799e-21,0.267281660037904,0.577,0.595,9.76414487787598e-18,"2","MACROD2"
"PAPPA2",2.96237948847102e-18,0.295821608596677,0.319,0.372,5.92475897694205e-15,"2","PAPPA2"
"AC113414.1",2.05778322279558e-17,0.345900633378997,0.356,0.404,4.11556644559116e-14,"2","AC113414.1"
"PARD3B",1.0621597238033e-15,0.256687315134687,0.476,0.507,2.12431944760661e-12,"2","PARD3B"
"C2CD6",7.37308007925355e-14,0.276939608572632,0.326,0.386,1.47461601585071e-10,"2","C2CD6"
"GMDS",8.64440500573109e-14,0.287535519512611,0.36,0.394,1.72888100114622e-10,"2","GMDS"
"KIAA0825",4.99509272197983e-13,0.297293431573642,0.309,0.352,9.99018544395966e-10,"2","KIAA0825"
"AC006148.1",8.88862518209385e-13,0.331172919368469,0.42,0.457,1.77772503641877e-09,"2","AC006148.1"
"AC104123.1",4.72434951738575e-12,0.270181127342063,0.37,0.419,9.4486990347715e-09,"2","AC104123.1"
"AC108866.1",2.52866724688358e-11,0.29843866898793,0.296,0.351,5.05733449376716e-08,"2","AC108866.1"
"ADAMTS191",2.38544421368873e-10,0.283504763022489,0.408,0.46,4.77088842737745e-07,"2","ADAMTS19"
"FAM196B",9.08996600950529e-10,0.307185190902877,0.307,0.352,1.81799320190106e-06,"2","FAM196B"
"LINC01725",1.27200877110909e-06,0.296513605110543,0.292,0.363,0.00254401754221819,"2","LINC01725"
"AL359710.1",3.18884253780368e-06,0.262558369830707,0.289,0.354,0.00637768507560735,"2","AL359710.1"
"CABCOCO1",9.13291270706033e-06,0.261992443353967,0.302,0.371,0.0182658254141207,"2","CABCOCO1"
"AC092378.1",0.000369145346689027,0.25289162093437,0.25,0.333,0.738290693378054,"2","AC092378.1"
"MT-ND31",0,1.85461761009397,0.868,0.536,0,"3","MT-ND3"
"MT-ND11",0,1.77992960140483,0.763,0.458,0,"3","MT-ND1"
"MT-ND21",0,1.72135150808917,0.82,0.487,0,"3","MT-ND2"
"MT-ATP61",0,1.64481585427957,0.833,0.546,0,"3","MT-ATP6"
"MT-ND41",0,1.62736058077781,0.842,0.524,0,"3","MT-ND4"
"MT-CO21",0,1.56622246856635,0.862,0.602,0,"3","MT-CO2"
"MT-CO31",0,1.53299136657414,0.808,0.561,0,"3","MT-CO3"
"HBB",0,0.992178305785403,0.599,0.286,0,"3","HBB"
"GFAP",0,0.865449052066166,0.752,0.498,0,"3","GFAP"
"FAM107A",0,0.624077504018439,0.65,0.423,0,"3","FAM107A"
"MT-CO1",8.53454218254901e-277,1.44824125606461,0.667,0.457,1.7069084365098e-273,"3","MT-CO1"
"KIRREL32",7.67565341848318e-74,0.487832361292889,0.928,0.859,1.53513068369664e-70,"3","KIRREL3"
"ANKRD18A1",1.53287153699884e-58,0.552411435426287,0.721,0.563,3.06574307399769e-55,"3","ANKRD18A"
"DCLK1",5.53435269272053e-44,0.294071261035342,0.471,0.303,1.10687053854411e-40,"3","DCLK1"
